"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU735683",1,0,0.007,0.0297619047619048
"2","HU13247746",1,0,0.007,0.0297619047619048
"3","HU10856417",2,0,0.006,0.0238095238095238
"4","HU12514263",3,0,0.009,0.0416666666666667
"5","HU18479115",5,0,0.01,0.0476190476190476
"6","HU14174069",1,0,0.003,0.00595238095238095
"7","HU592479",1,0,0.007,0.0297619047619048
"8","HU22418876",1,0,0.007,0.0297619047619048
"9","HU11811732",4,0,0.008,0.0357142857142857
"10","HU725361",4,0,0.007,0.0297619047619048
"11","HU11583592",4,0,0.007,0.0297619047619048
"12","HU324766",5,0,0.02,0.107142857142857
"13","HU12145490",1,0,0.004,0.0119047619047619
"14","HU12519718",1,0,0.007,0.0297619047619048
"15","HU12109450",1,0,0.007,0.0297619047619048
"16","HU733634",1,0,0.007,0.0297619047619048
"17","HU13253679",1,0,0.007,0.0297619047619048
"18","HU731805",1,0,0.007,0.0297619047619048
"19","HU13579124",1,0,0.007,0.0297619047619048
"20","HU18680188",1,0,0.007,0.0297619047619048
"21","HU11806264",1,0,0.007,0.0297619047619048
"22","HU10901232",159,0,0.17,1
"23","HU42332299",1,0,0.002,0
"24","HU597078",6,0,0.018,0.0952380952380952
"25","HU14065277",2,0,0.006,0.0238095238095238
"26","HU14230853",1,0,0.004,0.0119047619047619
"27","HU300146",1,0,0.007,0.0297619047619048
"28","HU10964789",1,0,0.007,0.0297619047619048
"29","HU764421",2,0,0.007,0.0297619047619048
"30","HU10368145",3,0,0.009,0.0416666666666667
"31","HU14072424",54,0,0.05,0.285714285714286
"32","HU15000247",1,0,0.002,0
"33","HU60039459",1,0,0.002,0
"34","HU721473",2,0,0.01,0.0476190476190476
"35","HU10793509",1,0,0.005,0.0178571428571429
"36","HU23615241",1,0,0.002,0
"37","HU10356113",5,0,0.013,0.0654761904761905
"38","HU14300987",11,0,0.011,0.0535714285714286
"39","HU300630",1,0,0.007,0.0297619047619048
"40","HU13952141",1,0,0.007,0.0297619047619048
"41","HU598327",1,0,0.004,0.0119047619047619
"42","HU12644432",3,0,0.011,0.0535714285714286
"43","HU15000061",1,0,0.002,0
"44","HU10722299",1,0,0.004,0.0119047619047619
