"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU432744",1,0,0.009,0
"2","HU13958147",10,0,0.062,0.716216216216216
"3","HU735627",1,0,0.022,0.175675675675676
"4","HU10734441",1,0,0.022,0.175675675675676
"5","HU726906",1,0,0.011,0.027027027027027
"6","HU10625790",9,0,0.083,1
"7","HU490353",1,0,0.015,0.0810810810810811
"8","HU10897830",4,0,0.053,0.594594594594595
"9","HU14168820",1,0,0.022,0.175675675675676
"10","HU10814505",1,0,0.022,0.175675675675676
"11","HU14767388",1,0,0.015,0.0810810810810811
"12","HU724737",1,0,0.011,0.027027027027027
"13","HU12898019",7,0,0.065,0.756756756756757
"14","HU724782",2,0,0.016,0.0945945945945946
"15","HU12182888",1,0,0.015,0.0810810810810811
"16","HU12928130",4,0,0.053,0.594594594594595
"17","HU730886",1,0,0.017,0.108108108108108
"18","HU13945846",2,0,0.032,0.310810810810811
"19","HU724429",1,0,0.009,0
"20","HU733557",3,0,0.029,0.27027027027027
"21","HU730105",1,0,0.011,0.027027027027027
"22","HU734455",1,0,0.011,0.027027027027027
"23","HU18665161",1,0,0.022,0.175675675675676
"24","HU12936773",1,0,0.022,0.175675675675676
"25","HU308801",1,0,0.017,0.108108108108108
"26","HU13101424",2,0,0.032,0.310810810810811
"27","HU10324224",1,0,0.017,0.108108108108108
"28","HU12519718",1,0,0.022,0.175675675675676
"29","HU10768033",1,0,0.022,0.175675675675676
"30","HU752028",1,0,0.015,0.0810810810810811
"31","HU12461062",1,0,0.011,0.027027027027027
"32","HU308647",1,0,0.011,0.027027027027027
"33","HU725503",1,0,0.015,0.0810810810810811
"34","HU10901232",1,0,0.015,0.0810810810810811
"35","HU727002",1,0,0.015,0.0810810810810811
"36","HU731597",1,0,0.009,0
"37","HU13851325",1,0,0.011,0.027027027027027
"38","HU14077340",1,0,0.011,0.027027027027027
"39","HU722722",1,0,0.011,0.027027027027027
"40","HU756817",2,0,0.019,0.135135135135135
"41","HU329398",2,0,0.019,0.135135135135135
"42","HU329541",1,0,0.011,0.027027027027027
"43","HU311399",1,0,0.015,0.0810810810810811
"44","HU728328",1,0,0.017,0.108108108108108
"45","HU587129",6,0,0.035,0.351351351351351
