"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU728757",2,0,0,0
"2","HU12752065",2,0,0,0
"3","HU731070",4,0,0,0
"4","HU12453948",4,0,0,0
"5","HU423649",1,0,0,0
"6","HU12661499",1,0,0,0
"7","HU19858083",1,0,0,0
"8","HU14805918",3,0,0.001,0.125
"9","HU337474",1,0,0,0
"10","HU13312325",1,0,0,0
"11","HU427021",3,0,0,0
"12","HU11325486",3,0,0,0
"13","HU14005534",1,0,0,0
"14","HU11522542",1,0,0,0
"15","HU473040",1,0,0,0
"16","HU14975176",11,0,0.001,0.125
"17","HU491613",1,0,0,0
"18","HU12614277",2,0,0,0
"19","HU598152",3,0,0,0
"20","HU11374150",5,0,0.001,0.125
"21","HU726258",1,0,0,0
"22","HU13567707",1,0,0,0
"23","HU728373",2,0,0.001,0.125
"24","HU12903436",1,0,0,0
"25","HU727794",2,0,0,0
"26","HU13941770",4,0,0.001,0.125
"27","HU428798",1,0,0,0
"28","HU22941888",1,0,0,0
"29","HU732945",1,0,0,0
"30","HU10362998",9,0,0.001,0.125
"31","HU19863908",3,0,0,0
"32","HU14499025",3,0,0,0
"33","HU725394",1,0,0,0
"34","HU14385104",1,0,0,0
"35","HU729798",15,0,0.002,0.25
"36","HU14345191",2,0,0,0
"37","HU727749",2,0,0,0
"38","HU592150",1,0,0,0
"39","HU14160592",1,0,0,0
"40","HU11715492",1,0,0,0
"41","HU12581799",9,0,0.001,0.125
"42","HU11553849",3,0,0,0
"43","HU10813267",2,0,0,0
"44","HU381707",1,0,0,0
"45","HU10544020",1,0,0,0
"46","HU726401",1,0,0,0
"47","HU10497746",1,0,0,0
"48","HU421041",1,0,0,0
"49","HU11304047",1,0,0,0
"50","HU726500",3,0,0,0
"51","HU10711543",1,0,0,0
"52","HU730721",3,0,0,0
"53","HU10953538",5,0,0.001,0.125
"54","HU348265",1,0,0,0
"55","HU11887827",6,0,0.001,0.125
"56","HU14820856",1,0,0,0
"57","HU11253525",1,0,0,0
"58","HU726490",12,0,0.001,0.125
"59","HU732538",8,0,0.001,0.125
"60","HU12730405",4,0,0,0
"61","HU725338",2,0,0,0
"62","HU10776456",3,0,0,0
"63","HU732769",14,0,0.002,0.25
"64","HU728548",1,0,0,0
"65","HU11705053",72,0,0.007,0.875
"66","HU11152668",1,0,0,0
"67","HU11986270",8,0,0.001,0.125
"68","HU733007",5,0,0.001,0.125
"69","HU11269001",3,0,0,0
"70","HU731883",3,0,0.001,0.125
"71","HU12427615",1,0,0,0
"72","HU732693",5,0,0.001,0.125
"73","HU12354526",6,0,0.001,0.125
"74","HU11611226",5,0,0.001,0.125
"75","HU10263806",3,0,0,0
"76","HU729974",1,0,0,0
"77","HU10636398",1,0,0,0
"78","HU725118",3,0,0,0
"79","HU14300327",24,0,0.002,0.25
"80","HU450054",2,0,0,0
"81","HU14008915",18,0,0.002,0.25
"82","HU732132",2,0,0,0
"83","HU12656770",6,0,0.001,0.125
"84","HU724803",3,0,0.001,0.125
"85","HU14446931",1,0,0,0
"86","HU396552",2,0,0,0
"87","HU11485920",3,0,0.001,0.125
"88","HU367088",1,0,0,0
"89","HU29500918",1,0,0,0
"90","HU730611",5,0,0.001,0.125
"91","HU24488208",2,0,0,0
"92","HU724517",2,0,0,0
"93","HU11028471",1,0,0,0
"94","HU445715",1,0,0,0
"95","HU14852020",5,0,0.001,0.125
"96","HU732682",1,0,0,0
"97","HU12593783",9,0,0.001,0.125
"98","HU336477",2,0,0.001,0.125
"99","HU10381603",3,0,0.001,0.125
"100","HU730897",8,0,0.001,0.125
"101","HU13305329",4,0,0.001,0.125
"102","HU731850",4,0,0.001,0.125
"103","HU14299526",2,0,0,0
"104","HU583088",5,0,0.001,0.125
"105","HU10706484",3,0,0,0
"106","HU403335",1,0,0,0
"107","HU11551050",1,0,0,0
"108","HU14863477",11,0,0.001,0.125
"109","HU14759996",12,0,0.001,0.125
"110","HU726731",12,0,0.001,0.125
"111","HU10557606",7,0,0.001,0.125
"112","HU730095",5,0,0.001,0.125
"113","HU13523398",6,0,0.001,0.125
"114","HU12523326",5,0,0.001,0.125
"115","HU331779",1,0,0,0
"116","HU11097875",22,0,0.002,0.25
"117","HU14249882",2,0,0,0
"118","HU734345",1,0,0,0
"119","HU11358857",1,0,0,0
"120","HU732022",4,0,0.001,0.125
"121","HU10591998",3,0,0.001,0.125
"122","HU450890",1,0,0,0
"123","HU13019204",1,0,0,0
"124","HU10714254",1,0,0,0
"125","HU11486471",1,0,0,0
"126","HU730127",2,0,0,0
"127","HU11906508",5,0,0.001,0.125
"128","HU385727",7,0,0.001,0.125
