"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU726182",1,0,0.001,0.125
"2","HU13045726",1,0,0.001,0.125
"3","HU428062",1,0,0.001,0.125
"4","HU12977581",1,0,0.001,0.125
"5","HU728450",4,0,0.001,0.125
"6","HU12509300",4,0,0.001,0.125
"7","HU439413",3,0,0.001,0.125
"8","HU12569658",1,0,0,0
"9","HU731751",1,0,0.001,0.125
"10","HU20537685",1,0,0.001,0.125
"11","HU311454",4,0,0.001,0.125
"12","HU14300327",7,0,0.001,0.125
"13","HU308449",1,0,0.001,0.125
"14","HU22993294",1,0,0.001,0.125
"15","HU726829",1,0,0,0
"16","HU14896707",2,0,0,0
"17","HU20671675",1,0,0,0
"18","HU22757937",8,0,0.001,0.125
"19","HU734466",3,0,0.001,0.125
"20","HU15000236",1,0,0,0
"21","HU732945",2,0,0,0
"22","HU10362998",5,0,0.001,0.125
"23","HU443018",1,0,0,0
"24","HU11986270",11,0,0.002,0.25
"25","HU730370",3,0,0,0
"26","HU11906508",12,0,0.001,0.125
"27","HU730149",1,0,0,0
"28","HU11121426",5,0,0.001,0.125
"29","HU11963808",2,0,0.001,0.125
"30","HU12593783",11,0,0.002,0.25
"31","HU349581",1,0,0.001,0.125
"32","HU13646925",1,0,0.001,0.125
"33","HU725514",5,0,0.001,0.125
"34","HU12614277",4,0,0.001,0.125
"35","HU14838901",1,0,0.001,0.125
"36","HU11253525",1,0,0.001,0.125
"37","HU355937",1,0,0.001,0.125
"38","HU11718873",1,0,0.001,0.125
"39","HU327877",6,0,0.001,0.125
"40","HU12764073",9,0,0.001,0.125
"41","HU733513",2,0,0.001,0.125
"42","HU11286305",1,0,0,0
"43","HU731355",6,0,0.001,0.125
"44","HU13395313",1,0,0,0
"45","HU734224",6,0,0.001,0.125
"46","HU10741911",1,0,0,0
"47","HU427043",1,0,0,0
"48","HU14199086",2,0,0.001,0.125
"49","HU18442142",1,0,0.001,0.125
"50","HU11580317",1,0,0.001,0.125
"51","HU728582",4,0,0.001,0.125
"52","HU14801206",1,0,0,0
"53","HU726083",4,0,0.001,0.125
"54","HU11066901",18,0,0.002,0.25
"55","HU732835",1,0,0,0
"56","HU11272481",2,0,0.001,0.125
"57","HU734477",2,0,0.001,0.125
"58","HU10702136",2,0,0.001,0.125
"59","HU726456",2,0,0.001,0.125
"60","HU11983624",2,0,0.001,0.125
"61","HU724397",1,0,0.001,0.125
"62","HU12814783",1,0,0.001,0.125
"63","HU724319",10,0,0.001,0.125
"64","HU15000114",5,0,0.001,0.125
"65","HU19024471",1,0,0.001,0.125
"66","HU23075102",1,0,0.001,0.125
"67","HU724782",7,0,0.001,0.125
"68","HU10482254",5,0,0.001,0.125
"69","HU735638",5,0,0.001,0.125
"70","HU11705053",13,0,0.002,0.25
"71","HU300146",8,0,0.001,0.125
"72","HU13707824",2,0,0,0
"73","HU730578",1,0,0.001,0.125
"74","HU10253120",1,0,0.001,0.125
"75","HU735924",1,0,0,0
"76","HU14624337",2,0,0.001,0.125
"77","HU321204",8,0,0.002,0.25
"78","HU23254664",4,0,0.001,0.125
"79","HU18055342",13,0,0.001,0.125
"80","HU10454871",6,0,0.001,0.125
"81","HU598152",7,0,0.002,0.25
"82","HU12024528",1,0,0,0
"83","HU511016",9,0,0.001,0.125
"84","HU11266101",16,0,0.002,0.25
"85","HU15000008",3,0,0.001,0.125
"86","HU727277",1,0,0.001,0.125
"87","HU15000076",1,0,0.001,0.125
"88","HU372350",1,0,0,0
"89","HU726917",7,0,0.001,0.125
"90","HU11149422",1,0,0,0
"91","HU725998",1,0,0.001,0.125
"92","HU21285367",1,0,0.001,0.125
"93","HU735683",8,0,0.001,0.125
"94","HU15000059",2,0,0,0
"95","HU442781",1,0,0.001,0.125
"96","HU15000335",1,0,0.001,0.125
"97","HU734235",1,0,0,0
"98","HU14605749",66,19,0.006,0.75
"99","HU15000015",2,0,0.001,0.125
"100","HU725723",5,0,0.001,0.125
"101","HU11063582",4,0,0.001,0.125
"102","HU396002",1,0,0,0
"103","HU15000169",2,0,0.001,0.125
"104","HU731762",5,0,0.001,0.125
"105","HU13053266",2,0,0,0
"106","HU726906",25,0,0.003,0.375
"107","HU11392259",4,0,0.001,0.125
"108","HU308373",4,0,0.001,0.125
"109","HU15000159",1,0,0,0
"110","HU733722",2,0,0.001,0.125
"111","HU21073726",1,0,0,0
"112","HU728625",1,0,0,0
"113","HU11724483",5,0,0.001,0.125
"114","HU725361",15,0,0.003,0.375
"115","HU11097875",15,0,0.002,0.25
"116","HU728328",4,0,0.001,0.125
"117","HU14904134",8,0,0.001,0.125
"118","HU724605",1,0,0.001,0.125
"119","HU12592108",1,0,0.001,0.125
"120","HU729138",1,0,0,0
"121","HU10683833",13,0,0.003,0.375
"122","HU545387",4,0,0.001,0.125
"123","HU10367285",3,0,0.001,0.125
"124","HU10387355",1,0,0,0
"125","HU724012",8,0,0.001,0.125
"126","HU10738885",8,0,0.002,0.25
"127","HU18159422",6,0,0.001,0.125
"128","HU12023462",5,0,0.001,0.125
"129","HU397625",3,0,0.001,0.125
"130","HU15000374",2,0,0,0
"131","HU358686",1,0,0,0
"132","HU14627811",2,0,0.001,0.125
"133","HU735209",1,0,0.001,0.125
"134","HU14654107",1,0,0.001,0.125
"135","HU730600",7,0,0.001,0.125
"136","HU15000215",1,0,0,0
"137","HU22892849",1,0,0,0
"138","HU725228",1,0,0,0
"139","HU13914570",1,0,0,0
"140","HU10785234",1,0,0,0
"141","HU15000437",1,0,0,0
"142","HU10659461",2,0,0,0
"143","HU732703",4,0,0.001,0.125
"144","HU11501938",1,0,0,0
"145","HU735748",7,0,0.001,0.125
"146","HU14468096",3,0,0.001,0.125
"147","HU726270",1,0,0.001,0.125
"148","HU12452181",1,0,0.001,0.125
"149","HU12867619",1,0,0,0
"150","HU23121533",2,0,0,0
"151","HU61995778",1,0,0,0
"152","HU729392",6,0,0.001,0.125
"153","HU14843503",2,0,0,0
"154","HU728340",3,0,0.001,0.125
"155","HU11147640",2,0,0.001,0.125
"156","HU724540",17,0,0.002,0.25
"157","HU14759068",1,0,0,0
"158","HU13220387",1,0,0,0
"159","HU736129",3,0,0,0
"160","HU12354124",2,0,0,0
"161","HU732769",8,0,0.002,0.25
"162","HU11548735",2,0,0,0
"163","HU13316116",1,0,0,0
