"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU11103956",1,0,0.037,0
"2","HU10625790",5,0,0.167,1
"3","HU329398",1,0,0.059,0.169230769230769
"4","HU10542925",1,0,0.059,0.169230769230769
"5","HU10363315",1,0,0.037,0
"6","HU11995340",1,0,0.059,0.169230769230769
"7","HU12898019",1,0,0.059,0.169230769230769
"8","HU10898824",1,0,0.059,0.169230769230769
"9","HU12928130",1,0,0.059,0.169230769230769
"10","HU597308",1,0,0.045,0.0615384615384615
"11","HU10897830",2,0,0.086,0.376923076923077
"12","HU12568011",1,0,0.059,0.169230769230769
"13","HU12461062",1,0,0.059,0.169230769230769
"14","HU13851325",1,0,0.037,0
"15","HU10724789",1,0,0.037,0
"16","HU18922060",1,0,0.037,0
"17","HU12154481",1,0,0.045,0.0615384615384615
