"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","SK36038351",22,0,0.028,0.666666666666667
"2","SK62156489",1,0,0.002,0
"3","SK00305065",4,0,0.005,0.0769230769230769
"4","SK34128344",9,0,0.01,0.205128205128205
"5","SK00327735",1,0,0.005,0.0769230769230769
"6","SK00155764",1,0,0.005,0.0769230769230769
"7","SK35947161",4,0,0.005,0.0769230769230769
"8","SK31651518",27,0,0.03,0.717948717948718
"9","SK00306525",3,0,0.005,0.0769230769230769
"10","SK31447091",1,0,0.002,0
"11","SK35919001",38,0,0.041,1
"12","SK31628541",5,0,0.005,0.0769230769230769
"13","SK00634816",1,0,0.003,0.0256410256410256
"14","SK36378143",3,0,0.007,0.128205128205128
"15","SK00603481",2,0,0.004,0.0512820512820513
"16","SK35758805",1,0,0.002,0
"17","SK31602363",2,0,0.003,0.0256410256410256
"18","SK42499500",2,0,0.005,0.0769230769230769
"19","SK35910739",4,0,0.01,0.205128205128205
"20","SK35833106",1,0,0.003,0.0256410256410256
"21","SK00329321",1,0,0.002,0
"22","SK31355161",6,0,0.009,0.179487179487179
"23","SK36211541",1,0,0.005,0.0769230769230769
"24","SK25570722",1,0,0.005,0.0769230769230769
"25","SK30228247",4,0,0.004,0.0512820512820513
"26","SK36836567",2,0,0.003,0.0256410256410256
"27","SK37828100",11,7,0.014,0.307692307692308
"28","SK36672076",1,0,0.002,0
"29","SK31356648",4,0,0.006,0.102564102564103
"30","SK35840323",2,0,0.005,0.0769230769230769
"31","SK31936415",1,0,0.002,0
"32","SK36014354",2,0,0.004,0.0512820512820513
"33","SK35881879",2,0,0.003,0.0256410256410256
"34","SK00492736",2,0,0.007,0.128205128205128
"35","SK35759585",1,0,0.004,0.0512820512820513
"36","SK00308307",3,0,0.004,0.0512820512820513
"37","SK34105620",1,0,0.002,0
"38","SK00307203",1,0,0.002,0
"39","SK35910712",4,0,0.01,0.205128205128205
"40","SK36546941",2,0,0.005,0.0769230769230769
"41","SK37801279",1,0,0.002,0
"42","SK31690360",6,0,0.009,0.179487179487179
"43","SK17317282",21,0,0.024,0.564102564102564
"44","SK00003328",24,0,0.024,0.564102564102564
"45","SK31721079",5,0,0.006,0.102564102564103
"46","SK36430102",1,0,0.002,0
"47","SK17070775",1,0,0.002,0
"48","SK31364501",3,0,0.005,0.0769230769230769
"49","SK46342796",3,0,0.004,0.0512820512820513
"50","SK35802723",2,0,0.003,0.0256410256410256
"51","SK00397563",9,0,0.013,0.282051282051282
"52","SK14167361",3,0,0.005,0.0769230769230769
"53","SK31606296",8,0,0.009,0.179487179487179
"54","SK00326666",1,0,0.002,0
"55","SK35541016",8,0,0.01,0.205128205128205
"56","SK36461733",5,0,0.006,0.102564102564103
"57","SK30794536",1,0,0.002,0
"58","SK35683066",18,0,0.026,0.615384615384615
"59","SK37808427",8,0,0.009,0.179487179487179
"60","SK00397474",1,0,0.005,0.0769230769230769
"61","SK31349307",1,0,0.005,0.0769230769230769
"62","SK00164721",1,0,0.005,0.0769230769230769
"63","SK10747541",1,0,0.005,0.0769230769230769
"64","SK30936535",1,0,0.003,0.0256410256410256
"65","SK34112103",4,0,0.004,0.0512820512820513
"66","SK00319031",1,0,0.002,0
"67","SK35555777",6,0,0.007,0.128205128205128
"68","SK31333320",12,0,0.013,0.282051282051282
"69","SK36464261",1,0,0.003,0.0256410256410256
"70","SK00310905",1,0,0.002,0
"71","SK00304557",2,0,0.003,0.0256410256410256
"72","SK35740655",6,0,0.01,0.205128205128205
"73","SK00313980",1,0,0.005,0.0769230769230769
"74","SK36417807",1,0,0.005,0.0769230769230769
"75","SK00304913",1,0,0.002,0
