"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU18084922",2,0,0.005,0.15
"2","HU15000080",2,0,0.005,0.15
"3","HU490650",1,0,0.005,0.15
"4","HU15000054",1,0,0.005,0.15
"5","HU490638",1,0,0.005,0.15
"6","HU12008005",1,0,0.005,0.15
"7","HU14121559",1,0,0.004,0.1
"8","HU14288148",2,0,0.007,0.25
"9","HU12147715",1,0,0.003,0.05
"10","HU12292750",3,0,0.008,0.3
"11","HU775883",1,0,0.005,0.15
"12","HU11896193",1,0,0.005,0.15
"13","HU329815",12,0,0.022,1
"14","HU12934245",1,0,0.002,0
"15","HU724319",1,0,0.005,0.15
"16","HU15000405",1,0,0.005,0.15
"17","HU762944",1,0,0.005,0.15
"18","HU10227787",1,0,0.005,0.15
"19","HU346481",1,0,0.005,0.15
"20","HU13051587",1,0,0.005,0.15
"21","HU583154",1,0,0.005,0.15
"22","HU14001688",1,0,0.005,0.15
"23","HU308438",1,0,0.005,0.15
"24","HU20343033",1,0,0.005,0.15
"25","HU764410",1,0,0.005,0.15
"26","HU13270980",1,0,0.005,0.15
"27","HU13660532",1,0,0.002,0
"28","HU18592766",1,0,0.005,0.15
"29","HU21780927",1,0,0.005,0.15
"30","HU722744",1,0,0.005,0.15
"31","HU13923729",1,0,0.005,0.15
"32","HU300014",4,0,0.009,0.35
"33","HU12570737",1,0,0.003,0.05
"34","HU14108390",18,0,0.022,1
"35","HU14016235",5,0,0.006,0.2
"36","HU169",5,0,0.006,0.2
"37","HU159",2,0,0.003,0.05
"38","HU325235",1,0,0.005,0.15
"39","HU22722100",1,0,0.005,0.15
"40","HU731487",2,0,0.006,0.2
"41","HU14438192",2,0,0.006,0.2
"42","HU726621",1,0,0.005,0.15
"43","HU12577954",1,0,0.005,0.15
"44","HU735748",1,0,0.005,0.15
"45","HU11838593",1,0,0.005,0.15
"46","HU735605",2,0,0.005,0.15
"47","HU11383835",2,0,0.005,0.15
"48","HU10901816",1,0,0.003,0.05
"49","HU730105",1,0,0.005,0.15
"50","HU12883668",1,0,0.005,0.15
"51","HU10507065",1,0,0.002,0
"52","HU14486896",1,0,0.002,0
"53","HU22155531",1,0,0.002,0
"54","HU329804",3,0,0.009,0.35
"55","HU11733948",1,0,0.003,0.05
"56","HU24479231",1,0,0.002,0
"57","HU20933713",4,0,0.009,0.35
"58","HU215",2,0,0.004,0.1
"59","HU767565",1,0,0.005,0.15
"60","HU13881346",1,0,0.005,0.15
"61","HU735584",3,0,0.009,0.35
"62","HU10324035",1,0,0.003,0.05
"63","HU11598022",1,0,0.002,0
"64","HU542308",2,0,0.005,0.15
"65","HU11706690",2,0,0.005,0.15
"66","HU311740",1,0,0.005,0.15
"67","HU12257003",1,0,0.005,0.15
"68","HU10356113",4,0,0.009,0.35
"69","HU28340876",1,0,0.003,0.05
"70","HU10478701",2,0,0.004,0.1
"71","HU13970831",2,0,0.004,0.1
"72","HU10644371",2,0,0.006,0.2
"73","HU14892222",1,0,0.003,0.05
"74","HU192",1,0,0.002,0
"75","HU15000030",1,0,0.002,0
"76","HU14503180",1,0,0.003,0.05
"77","HU10856417",4,0,0.007,0.25
"78","HU10813944",3,0,0.005,0.15
"79","HU10317211",1,0,0.002,0
"80","HU735627",1,0,0.005,0.15
"81","HU12937554",1,0,0.005,0.15
"82","HU12385184",2,0,0.004,0.1
"83","HU15000196",1,0,0.002,0
"84","HU733656",3,0,0.007,0.25
"85","HU22418876",2,0,0.005,0.15
"86","HU149",1,0,0.003,0.05
"87","HU308373",1,0,0.005,0.15
"88","HU11408842",1,0,0.005,0.15
"89","HU18175598",1,0,0.003,0.05
"90","HU13283896",2,0,0.006,0.2
"91","HU11180663",2,0,0.004,0.1
"92","HU312770",1,0,0.005,0.15
"93","HU14899470",1,0,0.005,0.15
"94","HU12154481",1,0,0.005,0.15
"95","HU12886513",1,0,0.005,0.15
"96","HU10728350",1,0,0.003,0.05
"97","HU726731",1,0,0.005,0.15
"98","HU14765180",1,0,0.005,0.15
"99","HU735869",1,0,0.005,0.15
"100","HU12740033",1,0,0.005,0.15
"101","HU325752",2,0,0.007,0.25
"102","HU21795543",1,0,0.004,0.1
"103","HU735694",1,0,0.005,0.15
"104","HU10897706",1,0,0.005,0.15
"105","HU300146",1,0,0.004,0.1
"106","HU10591345",2,0,0.007,0.25
"107","HU14883664",1,0,0.003,0.05
"108","HU14626126",1,0,0.003,0.05
"109","HU10898903",1,0,0.003,0.05
"110","HU10941362",1,0,0.005,0.15
"111","HU12369692",1,0,0.005,0.15
"112","HU728571",1,0,0.005,0.15
"113","HU15000177",1,0,0.005,0.15
"114","HU10375165",2,0,0.004,0.1
"115","HU10746820",1,0,0.003,0.05
"116","HU308427",2,0,0.007,0.25
"117","HU14016905",1,0,0.004,0.1
"118","HU13978798",1,0,0.003,0.05
"119","HU725361",1,0,0.005,0.15
"120","HU15000325",1,0,0.005,0.15
"121","HU10640126",1,0,0.004,0.1
"122","HU320988",1,0,0.004,0.1
"123","HU329552",1,0,0.005,0.15
"124","HU12201521",1,0,0.005,0.15
"125","HU309820",1,0,0.005,0.15
"126","HU11710741",1,0,0.005,0.15
"127","HU328995",1,0,0.005,0.15
"128","HU12949641",1,0,0.005,0.15
"129","HU308746",2,0,0.005,0.15
"130","HU12305924",2,0,0.005,0.15
"131","HU329749",1,0,0.005,0.15
"132","HU10715578",1,0,0.005,0.15
"133","HU336060",1,0,0.005,0.15
"134","HU11942548",1,0,0.005,0.15
"135","HU329826",1,0,0.005,0.15
"136","HU12315899",1,0,0.005,0.15
"137","HU12166602",2,0,0.006,0.2
"138","HU20963631",1,0,0.005,0.15
"139","HU15000103",1,0,0.005,0.15
"140","HU10908679",1,0,0.002,0
"141","HU14168820",2,0,0.007,0.25
"142","HU14540767",1,0,0.004,0.1
"143","HU14706479",1,0,0.004,0.1
"144","HU10935013",1,0,0.003,0.05
"145","HU309754",1,0,0.004,0.1
"146","HU18455058",1,0,0.005,0.15
"147","HU14803370",1,0,0.005,0.15
"148","HU732703",1,0,0.005,0.15
"149","HU14115547",1,0,0.005,0.15
"150","HU11867355",1,0,0.002,0
"151","HU329969",1,0,0.005,0.15
"152","HU15000290",1,0,0.005,0.15
"153","HU775113",1,0,0.005,0.15
"154","HU13938376",1,0,0.005,0.15
"155","HU21097216",1,0,0.004,0.1
"156","HU22188823",1,0,0.005,0.15
"157","HU15000191",1,0,0.005,0.15
"158","HU576734",1,0,0.005,0.15
"159","HU12272738",1,0,0.005,0.15
"160","HU18091715",1,0,0.005,0.15
"161","HU10260793",1,0,0.005,0.15
"162","HU354545",1,0,0.003,0.05
"163","HU329859",1,0,0.005,0.15
"164","HU12592751",1,0,0.005,0.15
"165","HU735616",1,0,0.005,0.15
"166","HU13733102",1,0,0.005,0.15
"167","HU735704",1,0,0.005,0.15
"168","HU13776974",1,0,0.005,0.15
"169","HU308988",1,0,0.005,0.15
"170","HU14363764",1,0,0.005,0.15
"171","HU308812",1,0,0.005,0.15
"172","HU12669789",1,0,0.005,0.15
"173","HU490782",1,0,0.005,0.15
"174","HU12786293",1,0,0.005,0.15
"175","HU731762",1,0,0.005,0.15
"176","HU13874357",1,0,0.005,0.15
"177","HU14409158",1,0,0.005,0.15
"178","HU12676785",1,0,0.005,0.15
"179","HU734158",2,0,0.005,0.15
"180","HU15000178",2,0,0.005,0.15
"181","HU21508211",1,0,0.005,0.15
"182","HU14592245",1,0,0.005,0.15
"183","HU14863477",1,0,0.005,0.15
"184","HU18574210",1,0,0.005,0.15
"185","HU598646",1,0,0.005,0.15
"186","HU12580327",1,0,0.005,0.15
"187","HU735715",1,0,0.004,0.1
"188","HU10973581",2,0,0.007,0.25
"189","HU727222",1,0,0.005,0.15
"190","HU13245579",1,0,0.005,0.15
"191","HU490210",1,0,0.005,0.15
"192","HU10304491",1,0,0.005,0.15
"193","HU728032",1,0,0.005,0.15
"194","HU14152492",1,0,0.005,0.15
"195","HU725327",1,0,0.005,0.15
"196","HU13912341",1,0,0.005,0.15
"197","HU13851325",1,0,0.005,0.15
"198","HU10921285",1,0,0.005,0.15
"199","HU735287",1,0,0.005,0.15
