"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"151","CZ42866294",7,0,0.001,0.05
"152","CZ10121765",3,0,0,0
"153","CZ49766929",2,0,0,0
"154","CZ27195147",13,0,0.001,0.05
"155","CZ63322731",2,0,0,0
"156","CZ00300535",25,0,0.003,0.15
"157","CZ26867664",2,0,0,0
"158","CZ62360213",18,0,0.002,0.1
"159","CZ25941127",3,0,0.001,0.05
"160","CZ45240744",1,0,0.001,0.05
"161","CZ25943367",4,0,0.001,0.05
"162","CZ45192464",3,0,0,0
"163","CZ48391204",4,0,0.001,0.05
"164","CZ25519760",1,0,0,0
"165","CZ00247618",4,0,0.001,0.05
"166","CZ28270495",1,0,0,0
"167","CZ26255618",1,0,0,0
"168","CZ00304271",1,0,0,0
"169","CZ46577238",3,0,0.001,0.05
"170","CZ27776506",5,0,0.001,0.05
"171","CZ25317628",16,0,0.002,0.1
"172","CZ28618891",10,0,0.001,0.05
"173","CZ26212005",5,0,0.001,0.05
"174","CZ75032333",10,0,0.002,0.1
"175","CZ25117947",2,0,0,0
"176","CZ18626084",1,0,0,0
"177","CZ60753013",7,0,0.001,0.05
"178","CZ49369229",1,0,0,0
"179","CZ25595946",1,0,0,0
"180","CZ27573524",1,0,0,0
"181","CZ00276944",11,0,0.001,0.05
"182","CZ63834197",64,0,0.007,0.35
"183","CZ00272680",1,0,0,0
"184","CZ67439918",1,0,0.001,0.05
"185","CZ00578894",1,0,0.001,0.05
"186","CZ47310979",5,0,0.001,0.05
"187","CZ63839407",1,0,0,0
"188","CZ18630197",8,0,0.001,0.05
"189","CZ00303461",3,0,0.001,0.05
"190","CZ64618951",1,0,0,0
"191","CZ00261891",7,0,0.001,0.05
"192","CZ61324817",3,0,0.001,0.05
"193","CZ00240079",4,0,0.001,0.05
"194","CZ42196868",38,0,0.004,0.2
"195","CZ00262978",18,0,0.002,0.1
"196","CZ70932581",39,0,0.004,0.2
"197","CZ26271303",68,0,0.007,0.35
"198","CZ00244694",1,0,0,0
"199","CZ00250996",1,0,0,0
"200","CZ13642464",8,0,0.001,0.05
"201","CZ00278360",4,0,0.001,0.05
"202","CZ28402758",10,0,0.001,0.05
"203","CZ00266230",2,0,0.001,0.05
"204","CZ27280012",1,0,0,0
"205","CZ00272710",1,0,0.001,0.05
"206","CZ64829944",1,0,0.001,0.05
"207","CZ00270211",12,0,0.001,0.05
"208","CZ25968807",17,0,0.002,0.1
"209","CZ62156489",11,0,0.002,0.1
"210","CZ00255645",3,0,0.001,0.05
"211","CZ00289965",2,0,0,0
"212","CZ60076658",9,0,0.002,0.1
"213","CZ28315669",9,0,0.001,0.05
"214","CZ28868781",4,0,0.001,0.05
"215","CZ40232981",2,0,0.001,0.05
"216","CZ00250627",7,0,0.001,0.05
"217","CZ00266094",49,0,0.005,0.25
"218","CZ27354601",14,0,0.001,0.05
"219","CZ00245267",9,0,0.001,0.05
"220","CZ72050501",4,0,0.001,0.05
"221","CZ00277177",5,0,0.001,0.05
"222","CZ68378297",1,0,0,0
"223","CZ25105825",2,0,0.001,0.05
"224","CZ00006572",2,0,0.001,0.05
"225","CZ27455777",1,0,0.001,0.05
"226","CZ00063941",4,0,0.001,0.05
"227","CZ00246875",17,0,0.002,0.1
"228","CZ26374919",6,0,0.001,0.05
"229","CZ00064459",6,0,0.001,0.05
"230","CZ00294136",4,0,0.001,0.05
"231","CZ46974687",11,0,0.001,0.05
"232","CZ60680377",1,0,0,0
"233","CZ46994955",4,0,0.001,0.05
"234","CZ00258415",4,0,0.001,0.05
"235","CZ49197339",2,0,0,0
"236","CZ00572756",2,0,0,0
"237","CZ00063410",5,0,0.001,0.05
"238","CZ00216305",13,0,0.002,0.1
"239","CZ00216208",14,0,0.002,0.1
"240","CZ00274046",16,0,0.002,0.1
"241","CZ26746573",8,0,0.001,0.05
"242","CZ00075370",34,0,0.004,0.2
"243","CZ62156462",5,0,0.001,0.05
"244","CZ28686454",1,0,0,0
"245","CZ49285289",3,0,0.001,0.05
"246","CZ00242381",1,0,0,0
"247","CZ27430774",2,0,0.001,0.05
"248","CZ28954874",20,0,0.003,0.15
"249","CZ48535834",7,0,0.001,0.05
"250","CZ00262854",10,0,0.001,0.05
"251","CZ45192286",25,0,0.003,0.15
"252","CZ00654451",1,0,0,0
"253","CZ75151537",1,0,0,0
"254","CZ25460625",10,0,0.001,0.05
"255","CZ00290629",11,0,0.001,0.05
