"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"674","CZ25038192",2,0,0,0
"675","CZ00212423",4,0,0.001,0.05
"676","CZ25888595",1,0,0,0
"677","CZ00246433",1,0,0,0
"678","CZ25848461",1,0,0,0
"679","CZ00183024",5,0,0.001,0.05
"680","CZ62060881",1,0,0,0
"681","CZ10442481",8,0,0.001,0.05
"682","CZ71009396",1,0,0,0
"683","CZ42766991",2,0,0.001,0.05
"684","CZ46975764",1,0,0,0
"685","CZ25787012",1,0,0,0
"686","CZ62906127",1,0,0,0
"687","CZ25292315",1,0,0,0
"688","CZ25945793",1,0,0,0
"689","CZ43227317",1,0,0.001,0.05
"690","CZ25947273",1,0,0.001,0.05
"691","CZ00256552",2,0,0,0
"692","CZ25201506",1,0,0,0
"693","CZ00286192",2,0,0,0
"694","CZ00297569",5,0,0.001,0.05
"695","CZ25890981",4,0,0.001,0.05
"696","CZ72048972",1,0,0,0
"697","CZ00534188",1,0,0.001,0.05
"698","CZ26874130",1,0,0.001,0.05
"699","CZ60193468",5,0,0.002,0.1
"700","CZ25649868",1,0,0,0
"701","CZ00298077",7,0,0.001,0.05
"702","CZ00291471",8,0,0.001,0.05
"703","CZ28337271",1,0,0,0
"704","CZ00241610",1,0,0.001,0.05
"705","CZ60194294",1,0,0.001,0.05
"706","CZ00264474",2,0,0,0
"707","CZ72053119",8,0,0.001,0.05
"708","CZ00095711",8,0,0.001,0.05
"709","CZ14799634",3,0,0,0
"710","CZ18628419",1,0,0,0
"711","CZ72051795",3,0,0.001,0.05
"712","CZ26821834",1,0,0,0
"713","CZ00250821",2,0,0.001,0.05
"714","CZ60647621",2,0,0.001,0.05
"715","CZ00299529",1,0,0,0
"716","CZ46972021",3,0,0.001,0.05
"717","CZ00024007",1,0,0.001,0.05
"718","CZ26004852",1,0,0.001,0.05
"719","CZ49710371",2,0,0.001,0.05
"720","CZ00215660",1,0,0.001,0.05
"721","CZ48108545",1,0,0.001,0.05
"722","CZ00236977",1,0,0,0
"723","CZ00023221",1,0,0,0
"724","CZ00481483",1,0,0,0
"725","CZ00275191",2,0,0.001,0.05
"726","CZ60040459",1,0,0,0
"727","CZ00255513",1,0,0,0
"728","CZ70840105",1,0,0,0
"729","CZ62243136",1,0,0,0
"730","CZ27283518",1,0,0,0
"731","CZ27376516",2,0,0.001,0.05
"732","CZ00268577",3,0,0.001,0.05
"733","CZ00231401",5,0,0.001,0.05
"734","CZ60826053",3,0,0,0
"735","CZ29060109",1,0,0.001,0.05
"736","CZ25569554",1,0,0.001,0.05
"737","CZ00296007",1,0,0.001,0.05
"738","CZ25585142",1,0,0.001,0.05
"739","CZ46504621",2,0,0,0
"740","CZ00283509",1,0,0.001,0.05
"741","CZ27772179",2,0,0.001,0.05
"742","CZ00088455",17,0,0.002,0.1
"743","CZ61389013",1,0,0.001,0.05
"744","CZ25092553",1,0,0.001,0.05
"745","CZ47306581",1,0,0,0
"746","CZ25274368",1,0,0,0
"747","CZ00235300",1,0,0,0
"748","CZ48951081",2,0,0.001,0.05
"749","CZ00582158",1,0,0,0
"750","CZ25186973",2,0,0,0
"751","CZ00231355",1,0,0.001,0.05
"752","CZ48589829",1,0,0.001,0.05
"753","CZ62303970",2,0,0.001,0.05
"754","CZ00299847",1,0,0.001,0.05
"755","CZ27804721",1,0,0.001,0.05
"756","CZ72496991",4,0,0.001,0.05
"757","CZ00260169",1,0,0,0
"758","CZ27977951",2,0,0.001,0.05
"759","CZ25360779",1,0,0,0
"760","CZ00262170",2,0,0.001,0.05
"761","CZ25966251",4,0,0.001,0.05
"762","CZ00669792",1,0,0.001,0.05
"763","CZ25215566",1,0,0.001,0.05
"764","CZ00288659",5,0,0.001,0.05
"765","CZ00297755",5,0,0.001,0.05
"766","CZ27106942",1,0,0,0
"767","CZ44567987",1,0,0,0
"768","CZ00283061",2,0,0.001,0.05
"769","CZ26264081",1,0,0,0
"770","CZ25862758",2,0,0,0
"771","CZ28538862",1,0,0,0
"772","CZ25397087",4,0,0.001,0.05
"773","CZ46713158",3,0,0,0
"774","CZ49904884",3,0,0,0
"775","CZ28430484",1,0,0,0
"776","CZ25598643",1,0,0,0
"777","CZ12669750",2,0,0,0
"778","CZ00085031",1,0,0,0
"779","CZ24742023",2,0,0,0
"780","CZ28294670",1,0,0,0
"781","CZ16638778",1,0,0,0
"782","CZ27936333",1,0,0,0
"783","CZ64084256",2,0,0,0
"784","CZ28692403",1,0,0,0
"785","CZ75151499",12,0,0.002,0.1
"786","CZ00261718",5,0,0.001,0.05
"787","CZ47470712",1,0,0,0
"788","CZ00239402",2,0,0.001,0.05
"789","CZ60916478",1,0,0.001,0.05
"790","CZ00007536",4,0,0.001,0.05
"791","CZ44569769",2,0,0.001,0.05
"792","CZ10476920",2,0,0.001,0.05
"793","CZ00236411",1,0,0,0
"794","CZ47052945",1,0,0.001,0.05
"795","CZ49295934",1,0,0,0
"796","CZ25014391",2,0,0,0
"797","CZ00248266",1,0,0,0
"798","CZ28252217",5,0,0.001,0.05
"799","CZ00252654",1,0,0,0
"800","CZ44797958",3,0,0.001,0.05
"801","CZ75151529",4,0,0.001,0.05
"802","CZ64358844",6,0,0.001,0.05
"803","CZ25062425",1,0,0,0
"804","CZ00023281",1,0,0.001,0.05
"805","CZ61974731",1,0,0.001,0.05
"806","CZ00236195",3,0,0.001,0.05
"807","CZ45144788",1,0,0,0
"808","CZ00250546",1,0,0,0
"809","CZ00304387",2,0,0.001,0.05
"810","CZ47973749",1,0,0,0
"811","CZ47471174",1,0,0,0
"812","CZ00246972",1,0,0,0
"813","CZ00279943",2,0,0,0
"814","CZ27751422",1,0,0.001,0.05
"815","CZ27666425",1,0,0.001,0.05
"816","CZ25380117",2,0,0,0
"817","CZ61389005",1,0,0,0
"818","CZ00244309",2,0,0,0
"819","CZ00245836",3,0,0.001,0.05
"820","CZ49971379",1,0,0,0
"821","CZ00025429",1,0,0,0
"822","CZ00291463",1,0,0,0
"823","CZ00253901",1,0,0.001,0.05
"824","CZ47282312",1,0,0.001,0.05
"825","CZ00240915",1,0,0,0
"826","CZ26115875",2,0,0.001,0.05
"827","CZ61056596",1,0,0,0
"828","CZ00302724",3,0,0.001,0.05
"829","CZ43960219",2,0,0.001,0.05
"830","CZ60461373",9,0,0.002,0.1
"831","CZ27481107",5,0,0.001,0.05
"832","CZ25547631",1,0,0,0
"833","CZ00063631",1,0,0.001,0.05
"834","CZ49357999",1,0,0.001,0.05
"835","CZ28614321",1,0,0,0
"836","CZ00232947",2,0,0.001,0.05
"837","CZ26072912",1,0,0,0
"838","CZ70889660",3,0,0.001,0.05
"839","CZ49551281",1,0,0.001,0.05
"840","CZ25396544",1,0,0,0
"841","CZ18384501",1,0,0,0
"842","CZ25727362",1,0,0,0
"843","CZ00023817",1,0,0,0
"844","CZ00672068",5,0,0.001,0.05
"845","CZ63886464",1,0,0,0
"846","CZ00240702",4,0,0.001,0.05
"847","CZ00303551",1,0,0.001,0.05
"848","CZ15503771",1,0,0.001,0.05
"849","CZ27661989",2,0,0,0
"850","CZ64791220",3,0,0,0
"851","CZ46679375",2,0,0,0
"852","CZ25041738",3,0,0,0
"853","CZ25402188",1,0,0,0
"854","CZ65141385",1,0,0,0
"855","CZ00297488",4,0,0.001,0.05
"856","CZ00276111",2,0,0,0
"857","CZ44797320",1,0,0,0
"858","CZ27253236",1,0,0,0
"859","CZ00063461",4,0,0.001,0.05
"860","CZ00842001",1,0,0.001,0.05
"861","CZ26908930",1,0,0.001,0.05
"862","CZ28573668",2,0,0.001,0.05
"863","CZ46357653",1,0,0,0
"864","CZ44566565",3,0,0,0
"865","CZ25385551",2,0,0,0
"866","CZ00260746",1,0,0,0
"867","CZ45245053",3,0,0.001,0.05
"868","CZ46678832",1,0,0,0
"869","CZ49976311",1,0,0,0
"870","CZ28570227",1,0,0,0
"871","CZ00063797",4,0,0.001,0.05
"872","CZ25342100",3,0,0,0
"873","CZ63072238",1,0,0,0
"874","CZ61944840",2,0,0,0
"875","CZ45244618",2,0,0,0
"876","CZ25871773",1,0,0,0
"877","CZ25028685",1,0,0,0
"878","CZ25638955",2,0,0,0
"879","CZ25427229",1,0,0,0
"880","CZ00299138",1,0,0.001,0.05
"881","CZ25385615",1,0,0.001,0.05
"882","CZ25142691",1,0,0,0
"883","CZ00283916",1,0,0.001,0.05
"884","CZ15528588",1,0,0.001,0.05
"885","CZ26826437",2,0,0,0
"886","CZ25650751",2,0,0.001,0.05
"887","CZ25953818",1,0,0,0
"888","CZ25329219",1,0,0,0
"889","CZ25836625",2,0,0,0
"890","CZ00297291",1,0,0.001,0.05
"891","CZ25260766",1,0,0.001,0.05
"892","CZ00277444",1,0,0,0
"893","CZ60193531",4,0,0.001,0.05
"894","CZ46345957",1,0,0,0
"895","CZ28107306",1,0,0,0
"896","CZ47731478",1,0,0,0
"897","CZ25344447",20,0,0.002,0.1
"898","CZ60088613",3,0,0,0
"899","CZ47215275",4,0,0,0
"900","CZ47451742",2,0,0,0
"901","CZ47905913",4,0,0,0
"902","CZ26375699",1,0,0,0
"903","CZ26242915",1,0,0,0
"904","CZ00303038",2,0,0.001,0.05
"905","CZ27466701",3,0,0,0
"906","CZ41549007",1,0,0,0
"907","CZ26316919",1,0,0,0
"908","CZ25349023",1,0,0,0
"909","CZ25077155",1,0,0,0
"910","CZ70971641",4,0,0.001,0.05
"911","CZ00128198",2,0,0.001,0.05
"912","CZ64509745",1,0,0.001,0.05
"913","CZ27240088",1,0,0,0
"914","CZ27342093",1,0,0,0
"915","CZ60851724",1,0,0,0
"916","CZ47674539",2,0,0.001,0.05
"917","CZ28084136",1,0,0,0
"918","CZ67779999",3,0,0.001,0.05
"919","CZ47286334",6,0,0.001,0.05
"920","CZ00244899",1,0,0.001,0.05
"921","CZ26076748",1,0,0.001,0.05
"922","CZ76585077",1,0,0,0
"923","CZ28184343",1,0,0,0
"924","CZ00844853",1,0,0,0
"925","CZ48136450",1,0,0.001,0.05
"926","CZ25131770",1,0,0.001,0.05
"927","CZ25725459",1,0,0,0
"928","CZ00298212",6,0,0.001,0.05
"929","CZ00567892",1,0,0,0
"930","CZ27283933",4,0,0.001,0.05
"931","CZ60748982",1,0,0,0
"932","CZ28789202",2,0,0,0
"933","CZ25417045",4,0,0,0
"934","CZ00256129",3,0,0.001,0.05
"935","CZ29115850",1,0,0,0
"936","CZ28436024",4,0,0.001,0.05
"937","CZ49689053",1,0,0,0
"938","CZ00231223",4,0,0.001,0.05
"939","CZ27233944",1,0,0,0
"940","CZ25401343",2,0,0.001,0.05
"941","CZ25374311",2,0,0,0
"942","CZ25244833",2,0,0,0
"943","CZ25572881",2,0,0,0
"944","CZ00830488",1,0,0,0
"945","CZ28714989",3,0,0.001,0.05
"946","CZ25054929",1,0,0.001,0.05
"947","CZ25028316",3,0,0.001,0.05
"948","CZ26105594",3,0,0,0
"949","CZ00283819",1,0,0.001,0.05
"950","CZ65142756",3,0,0.001,0.05
"951","CZ29291518",1,0,0,0
"952","CZ60469226",1,0,0,0
"953","CZ26187060",2,0,0.001,0.05
"954","CZ25515683",1,0,0,0
"955","CZ25223798",1,0,0,0
"956","CZ00638994",3,0,0.001,0.05
"957","CZ24299367",2,0,0.001,0.05
"958","CZ28705734",3,0,0,0
"959","CZ27285910",5,0,0.001,0.05
"960","CZ25225049",1,0,0,0
"961","CZ43383513",1,0,0.001,0.05
"962","CZ15544451",1,0,0.001,0.05
"963","CZ61328952",2,0,0,0
"964","CZ28450744",1,0,0,0
"965","CZ27259544",2,0,0,0
"966","CZ14499924",2,0,0,0
"967","CZ27467520",4,0,0.001,0.05
"968","CZ26184087",1,0,0,0
"969","CZ26850648",1,0,0,0
"970","CZ72052767",1,0,0,0
"971","CZ00259047",2,0,0,0
"972","CZ47718056",1,0,0,0
"973","CZ27332292",1,0,0,0
"974","CZ45538093",1,0,0,0
"975","CZ27784231",1,0,0,0
"976","CZ00279129",1,0,0,0
"977","CZ45355886",2,0,0.001,0.05
"978","CZ25475819",1,0,0,0
"979","CZ28290101",1,0,0,0
"980","CZ42324254",1,0,0,0
"981","CZ60851546",1,0,0,0
"982","CZ47972947",1,0,0,0
"983","CZ60931736",1,0,0,0
"984","CZ46882472",2,0,0,0
"985","CZ60755075",1,0,0,0
"986","CZ00025593",1,0,0,0
"987","CZ26186136",2,0,0,0
"988","CZ00298328",4,0,0.001,0.05
"989","CZ64609995",1,0,0,0
"990","CZ26856841",1,0,0,0
"991","CZ16669711",1,0,0,0
"992","CZ25274104",1,0,0,0
"993","CZ46963111",2,0,0,0
"994","CZ25873261",1,0,0,0
"995","CZ45539120",1,0,0,0
"996","CZ27989518",2,0,0,0
"997","CZ70888337",2,0,0.001,0.05
"998","CZ26285363",1,0,0,0
"999","CZ45537305",4,0,0.001,0.05
"1000","CZ72080043",2,0,0.001,0.05
"1001","CZ26465728",1,0,0,0
"1002","CZ26086310",1,0,0,0
"1003","CZ26359324",1,0,0,0
"1004","CZ46980989",3,0,0,0
"1005","CZ00669806",5,0,0.001,0.05
"1006","CZ26332078",1,0,0,0
"1007","CZ26342812",1,0,0,0
"1008","CZ63323524",1,0,0,0
"1009","CZ47666374",1,0,0,0
"1010","CZ26801001",1,0,0,0
"1011","CZ26196662",1,0,0,0
"1012","CZ27195783",1,0,0,0
"1013","CZ28692811",2,0,0,0
"1014","CZ00006963",2,0,0.001,0.05
"1015","CZ60701455",1,0,0,0
"1016","CZ65138333",2,0,0,0
"1017","CZ46995803",3,0,0,0
"1018","CZ25571273",3,0,0,0
"1019","CZ45807159",1,0,0,0
"1020","CZ27762157",2,0,0,0
"1021","CZ28154509",1,0,0,0
"1022","CZ47153903",1,0,0,0
"1023","CZ60071346",1,0,0,0
"1024","CZ27711285",1,0,0,0
"1025","CZ12266337",2,0,0,0
"1026","CZ49684370",1,0,0,0
"1027","CZ60825685",1,0,0,0
"1028","CZ45310815",1,0,0.001,0.05
"1029","CZ00007064",6,0,0.002,0.1
"1030","CZ27205461",1,0,0,0
"1031","CZ28321146",1,0,0,0
"1032","CZ27557235",1,0,0,0
"1033","CZ27844935",3,0,0,0
"1034","CZ60958227",1,0,0,0
"1035","CZ25505220",1,0,0,0
"1036","CZ64830551",3,0,0,0
"1037","CZ48390470",2,0,0.001,0.05
"1038","CZ44849206",2,0,0,0
"1039","CZ48589021",1,0,0,0
"1040","CZ27765857",2,0,0,0
"1041","CZ41084900",2,0,0,0
"1042","CZ25213571",1,0,0,0
"1043","CZ25821415",1,0,0,0
"1044","CZ26849330",1,0,0,0
"1045","CZ48585955",2,0,0,0
"1046","CZ49099795",1,0,0,0
"1047","CZ25337009",2,0,0,0
"1048","CZ47558857",1,0,0,0
"1049","CZ63617170",2,0,0,0
"1050","CZ27243591",1,0,0,0
"1051","CZ24660345",1,0,0,0
"1052","CZ47470879",1,0,0,0
"1053","CZ25657526",1,0,0,0
"1054","CZ00499838",1,0,0,0
"1055","CZ61465160",1,0,0,0
"1056","CZ47785233",1,0,0,0
"1057","CZ47674725",1,0,0,0
"1058","CZ27543439",1,0,0,0
"1059","CZ14504456",2,0,0,0
"1060","CZ64511359",5,0,0.001,0.05
"1061","CZ47972912",1,0,0,0
"1062","CZ27481956",2,0,0,0
"1063","CZ25932381",1,0,0,0
"1064","CZ46904140",1,0,0,0
"1065","CZ45476021",4,0,0.001,0.05
"1066","CZ60748044",1,0,0,0
"1067","CZ00269247",1,0,0.001,0.05
"1068","CZ49285092",1,0,0.001,0.05
"1069","CZ45317020",1,0,0,0
"1070","CZ28651103",1,0,0,0
"1071","CZ46972501",1,0,0,0
"1072","CZ00272868",2,0,0,0
"1073","CZ60930888",1,0,0,0
"1074","CZ26356503",3,0,0,0
"1075","CZ00207608",1,0,0,0
"1076","CZ49285203",1,0,0,0
"1077","CZ65269705",2,0,0,0
"1078","CZ62300911",1,0,0,0
"1079","CZ25686763",1,0,0,0
"1080","CZ26245906",1,0,0,0
"1081","CZ41194861",1,0,0,0
"1082","CZ60783257",1,0,0,0
"1083","CZ60696052",1,0,0,0
"1084","CZ26419823",1,0,0,0
"1085","CZ62581678",1,0,0,0
"1086","CZ42869951",1,0,0,0
"1087","CZ28085400",1,0,0,0
"1088","CZ63145251",2,0,0,0
"1089","CZ70947023",5,0,0.001,0.05
"1090","CZ46509283",2,0,0,0
"1091","CZ28796578",1,0,0,0
"1092","CZ60701188",1,0,0,0
"1093","CZ27775003",1,0,0,0
"1094","CZ25210700",1,0,0,0
"1095","CZ28659261",1,0,0,0
"1096","CZ13327739",1,0,0,0
"1097","CZ72776293",1,0,0,0
"1098","CZ25444565",1,0,0,0
"1099","CZ00257893",1,0,0,0
"1100","CZ70885184",1,0,0.001,0.05
"1101","CZ48531235",1,0,0.001,0.05
"1102","CZ00064416",1,0,0,0
"1103","CZ43222323",2,0,0.001,0.05
"1104","CZ00243221",1,0,0.001,0.05
"1105","CZ60489791",1,0,0.001,0.05
"1106","CZ46357351",2,0,0.001,0.05
"1107","CZ42324149",2,0,0.001,0.05
"1108","CZ28237781",1,0,0,0
"1109","CZ14706768",1,0,0,0
"1110","CZ25389068",1,0,0,0
"1111","CZ75151511",1,0,0,0
"1112","CZ27106632",1,0,0,0
"1113","CZ25851357",2,0,0,0
"1114","CZ28631862",1,0,0,0
"1115","CZ00250422",1,0,0.001,0.05
"1116","CZ40740056",1,0,0.001,0.05
"1117","CZ48906549",1,0,0,0
"1118","CZ25010832",1,0,0,0
"1119","CZ48135453",1,0,0.001,0.05
"1120","CZ25544136",1,0,0.001,0.05
"1121","CZ25014871",1,0,0,0
"1122","CZ28766831",1,0,0,0
"1123","CZ25385968",1,0,0,0
"1124","CZ00063754",1,0,0,0
"1125","CZ25006096",2,0,0,0
"1126","CZ28606582",1,0,0,0
"1127","CZ48290645",1,0,0,0
"1128","CZ62305620",1,0,0,0
"1129","CZ27678695",1,0,0,0
"1130","CZ00377015",1,0,0.001,0.05
"1131","CZ13893688",1,0,0.001,0.05
"1132","CZ00270059",2,0,0,0
"1133","CZ60077344",1,0,0.001,0.05
"1134","CZ45022313",1,0,0.001,0.05
"1135","CZ00291561",1,0,0,0
"1136","CZ41190840",1,0,0,0
"1137","CZ75151545",1,0,0,0
"1138","CZ47534630",2,0,0,0
"1139","CZ00274623",1,0,0.001,0.05
"1140","CZ46506934",1,0,0.001,0.05
"1141","CZ49608444",1,0,0.001,0.05
"1142","CZ64617874",1,0,0.001,0.05
"1143","CZ00291676",3,0,0.001,0.05
"1144","CZ00240290",2,0,0,0
"1145","CZ46356886",3,0,0.001,0.05
"1146","CZ25968203",1,0,0,0
"1147","CZ46994971",1,0,0,0
"1148","CZ47781483",1,0,0,0
"1149","CZ47903392",1,0,0,0
"1150","CZ11583916",1,0,0,0
"1151","CZ41327021",1,0,0,0
"1152","CZ00245585",1,0,0,0
"1153","CZ00266621",3,0,0.001,0.05
"1154","CZ42194920",1,0,0,0
"1155","CZ00295892",2,0,0,0
"1156","CZ27825531",1,0,0,0
"1157","CZ00279102",2,0,0.001,0.05
"1158","CZ15030768",1,0,0.001,0.05
"1159","CZ70898219",1,0,0.001,0.05
"1160","CZ46708111",1,0,0.001,0.05
"1161","CZ00209805",2,0,0.001,0.05
"1162","CZ60198770",1,0,0,0
"1163","CZ00303640",1,0,0,0
"1164","CZ29181453",1,0,0,0
"1165","CZ25526171",1,0,0,0
"1166","CZ00027006",1,0,0,0
"1167","CZ27580539",1,0,0,0
"1168","CZ26205777",1,0,0,0
"1169","CZ62063634",1,0,0.001,0.05
"1170","CZ00289931",2,0,0,0
"1171","CZ41326687",1,0,0,0
"1172","CZ48529303",2,0,0,0
"1173","CZ00232963",1,0,0,0
"1174","CZ63278944",1,0,0,0
"1175","CZ46992707",1,0,0,0
"1176","CZ44566760",1,0,0,0
"1177","CZ45359164",5,0,0.001,0.05
"1178","CZ42340918",1,0,0,0
"1179","CZ00253383",1,0,0,0
"1180","CZ00282707",1,0,0.001,0.05
"1181","CZ29222745",1,0,0.001,0.05
"1182","CZ00274879",1,0,0,0
"1183","CZ00301370",1,0,0.001,0.05
"1184","CZ25512455",1,0,0.001,0.05
"1185","CZ00242004",1,0,0,0
"1186","CZ26693054",1,0,0,0
"1187","CZ00639524",1,0,0,0
"1188","CZ61680346",1,0,0,0
"1189","CZ00080837",1,0,0,0
"1190","CZ25215078",1,0,0,0
"1191","CZ65349563",1,0,0.001,0.05
"1192","CZ24742261",1,0,0.001,0.05
"1193","CZ00255661",2,0,0.001,0.05
"1194","CZ26352281",1,0,0.001,0.05
"1195","CZ00257249",1,0,0.001,0.05
"1196","CZ48201774",1,0,0.001,0.05
"1197","CZ64619036",1,0,0,0
"1198","CZ65277911",1,0,0,0
"1199","CZ72554495",1,0,0.001,0.05
"1200","CZ27746631",1,0,0.001,0.05
"1201","CZ00023884",5,0,0.001,0.05
"1202","CZ25284959",1,0,0,0
"1203","CZ14864878",1,0,0,0
"1204","CZ43841252",1,0,0,0
"1205","CZ26363747",1,0,0,0
"1206","CZ25267329",1,0,0,0
"1207","CZ41327225",1,0,0,0
"1208","CZ25480065",1,0,0,0
"1209","CZ27967638",1,0,0,0
"1210","CZ47917059",1,0,0,0
"1211","CZ27421775",1,0,0,0
"1212","CZ25261282",2,0,0,0
"1213","CZ47910721",1,0,0,0
"1214","CZ12076538",1,0,0,0
"1215","CZ42360412",1,0,0,0
"1216","CZ60913088",1,0,0,0
"1217","CZ65276507",1,0,0,0
"1218","CZ27789012",1,0,0,0
"1219","CZ27110176",1,0,0,0
"1220","CZ26352516",1,0,0.001,0.05
"1221","CZ63474522",1,0,0,0
"1222","CZ25285262",1,0,0,0
"1223","CZ25513141",1,0,0,0
"1224","CZ47155558",1,0,0,0
"1225","CZ25740351",1,0,0,0
"1226","CZ64833852",1,0,0,0
"1227","CZ40994821",1,0,0.001,0.05
"1228","CZ26820897",1,0,0,0
"1229","CZ28274245",1,0,0,0
"1230","CZ48996327",1,0,0,0
"1231","CZ25350129",1,0,0,0
"1232","CZ61171361",1,0,0,0
"1233","CZ27725839",1,0,0,0
"1234","CZ00473057",2,0,0,0
"1235","CZ25039580",1,0,0,0
"1236","CZ26682389",1,0,0,0
"1237","CZ27257070",1,0,0,0
"1238","CZ46679626",3,0,0,0
"1239","CZ25945670",1,0,0,0
"1240","CZ47714107",1,0,0,0
"1241","CZ10458751",1,0,0,0
"1242","CZ28683218",1,0,0,0
"1243","CZ49905775",1,0,0,0
"1244","CZ26493381",1,0,0,0
"1245","CZ15546501",1,0,0,0
"1246","CZ70890366",1,0,0.001,0.05
"1247","CZ00559709",1,0,0.001,0.05
"1248","CZ25047485",1,0,0,0
"1249","CZ49825020",1,0,0,0
"1250","CZ00000493",1,0,0.001,0.05
"1251","CZ28595424",1,0,0.001,0.05
"1252","CZ25916581",1,0,0,0
"1253","CZ63497786",1,0,0,0
"1254","CZ27756173",1,0,0,0
"1255","CZ47545445",3,0,0,0
"1256","CZ25844610",1,0,0,0
"1257","CZ16188641",2,0,0,0
"1258","CZ45537151",1,0,0,0
"1259","CZ27965031",1,0,0,0
"1260","CZ45356815",1,0,0,0
"1261","CZ45798290",1,0,0,0
"1262","CZ25918681",1,0,0,0
"1263","CZ29392918",1,0,0,0
"1264","CZ00064165",1,0,0,0
"1265","CZ26852659",1,0,0,0
"1266","CZ25349287",1,0,0,0
"1267","CZ25269445",1,0,0,0
"1268","CZ25233866",1,0,0,0
"1269","CZ46977490",1,0,0,0
"1270","CZ25345583",1,0,0,0
"1271","CZ25010549",1,0,0,0
"1272","CZ47282711",2,0,0,0
"1273","CZ29282101",1,0,0,0
"1274","CZ25680340",7,0,0.001,0.05
"1275","CZ44264020",1,0,0,0
"1276","CZ25588664",1,0,0,0
"1277","CZ29298113",1,0,0,0
"1278","CZ45191085",1,0,0,0
"1279","CZ25303066",1,0,0,0
"1280","CZ27641759",1,0,0,0
"1281","CZ61329568",1,0,0,0
"1282","CZ63476142",1,0,0,0
"1283","CZ27235262",1,0,0,0
"1284","CZ14841053",1,0,0,0
"1285","CZ49356089",1,0,0,0
"1286","CZ49789791",1,0,0,0
"1287","CZ26215390",1,0,0,0
"1288","CZ28077458",1,0,0,0
"1289","CZ46977660",1,0,0,0
"1290","CZ63476223",1,0,0,0
"1291","CZ27590836",1,0,0,0
"1292","CZ25180657",1,0,0,0
"1293","CZ27729109",1,0,0,0
"1294","CZ25532928",1,0,0,0
"1295","CZ64618404",1,0,0,0
"1296","CZ60490161",1,0,0,0
"1297","CZ26864924",1,0,0,0
