"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","SK44444761",1,0,0.003,0.03125
"2","SK36328375",4,0,0.011,0.28125
"3","SK00634816",3,0,0.005,0.09375
"4","SK36378143",3,0,0.005,0.09375
"5","SK00397768",2,0,0.004,0.0625
"6","SK36191892",5,0,0.009,0.21875
"7","SK00325490",6,0,0.008,0.1875
"8","SK31651518",17,0,0.016,0.4375
"9","SK36022047",3,0,0.009,0.21875
"10","SK43900542",1,0,0.003,0.03125
"11","SK31662919",1,0,0.002,0
"12","SK36724530",4,0,0.006,0.125
"13","SK36455849",3,0,0.005,0.09375
"14","SK00326470",2,0,0.002,0
"15","SK36672297",1,0,0.002,0
"16","SK31356648",5,0,0.006,0.125
"17","SK00607231",1,0,0.005,0.09375
"18","SK31612709",1,0,0.005,0.09375
"19","SK00305383",1,0,0.004,0.0625
"20","SK35718625",2,0,0.007,0.15625
"21","SK00321125",2,0,0.004,0.0625
"22","SK35683066",23,0,0.032,0.9375
"23","SK00311812",3,0,0.004,0.0625
"24","SK49062557",4,0,0.005,0.09375
"25","SK35919001",28,0,0.027,0.78125
"26","SK00313114",2,0,0.007,0.15625
"27","SK36004111",1,0,0.004,0.0625
"28","SK00315737",5,0,0.007,0.15625
"29","SK36052981",2,0,0.003,0.03125
"30","SK00003328",25,0,0.026,0.75
"31","SK35802723",7,0,0.008,0.1875
"32","SK37861298",10,0,0.019,0.53125
"33","SK34128344",8,0,0.011,0.28125
"34","SK00165182",2,0,0.005,0.09375
"35","SK36526185",2,0,0.005,0.09375
"36","SK36378844",2,0,0.006,0.125
"37","SK00151866",21,0,0.034,1
"38","SK00603376",1,0,0.002,0
"39","SK31439926",1,0,0.002,0
"40","SK37801279",1,0,0.004,0.0625
"41","SK00896225",2,0,0.007,0.15625
"42","SK00329657",1,0,0.002,0
"43","SK17317282",34,0,0.033,0.96875
"44","SK00329614",5,0,0.006,0.125
"45","SK31355161",4,0,0.006,0.125
"46","SK00327735",1,0,0.005,0.09375
"47","SK00155764",1,0,0.005,0.09375
"48","SK37808427",9,0,0.011,0.28125
"49","SK35555777",2,0,0.002,0
"50","SK37870475",10,0,0.01,0.25
"51","SK36461733",1,0,0.002,0
"52","SK34112103",8,0,0.01,0.25
"53","SK34134557",1,0,0.002,0
"54","SK00307203",2,0,0.004,0.0625
"55","SK31611788",5,0,0.006,0.125
"56","SK00306606",1,0,0.002,0
"57","SK00317721",1,0,0.004,0.0625
"58","SK00313726",1,0,0.005,0.09375
"59","SK31631134",1,0,0.005,0.09375
"60","SK31333320",8,0,0.009,0.21875
"61","SK00691135",5,0,0.007,0.15625
"62","SK44651431",1,0,0.002,0
"63","SK31651402",11,0,0.011,0.28125
"64","SK00306169",2,0,0.003,0.03125
"65","SK00323560",3,0,0.005,0.09375
"66","SK35806621",2,0,0.004,0.0625
"67","SK37836901",9,0,0.009,0.21875
"68","SK35829141",1,0,0.005,0.09375
"69","SK35769840",1,0,0.005,0.09375
"70","SK00610577",1,0,0.002,0
"71","SK31322301",1,0,0.002,0
"72","SK00165549",2,0,0.003,0.03125
"73","SK35723041",1,0,0.002,0
"74","SK36465330",1,0,0.002,0
"75","SK00326518",4,0,0.005,0.09375
"76","SK35541016",3,0,0.003,0.03125
"77","SK00319805",1,0,0.002,0
"78","SK31966977",1,0,0.003,0.03125
"79","SK43874703",2,0,0.004,0.0625
"80","SK37936859",14,0,0.013,0.34375
"81","SK35727951",1,0,0.002,0
"82","SK45470651",1,0,0.002,0
"83","SK00332933",3,0,0.005,0.09375
"84","SK00327646",1,0,0.002,0
"85","SK00319091",1,0,0.004,0.0625
"86","SK31643841",2,0,0.004,0.0625
"87","SK00318094",1,0,0.003,0.03125
"88","SK00309982",1,0,0.002,0
"89","SK00310182",1,0,0.002,0
"90","SK35740655",9,0,0.014,0.375
"91","SK36126624",3,0,0.005,0.09375
"92","SK36834921",1,0,0.002,0
"93","SK00326283",1,0,0.002,0
"94","SK00311561",1,0,0.002,0
"95","SK00603147",2,0,0.007,0.15625
"96","SK36261483",1,0,0.004,0.0625
"97","SK37938126",1,0,0.002,0
"98","SK00311162",3,0,0.008,0.1875
"99","SK34138692",2,0,0.005,0.09375
"100","SK00320439",3,0,0.006,0.125
"101","SK34278532",1,0,0.002,0
"102","SK00321842",1,0,0.002,0
"103","SK64508510",1,0,0.003,0.03125
"104","SK00323021",4,0,0.009,0.21875
"105","SK36524735",1,0,0.002,0
"106","SK00330167",2,0,0.005,0.09375
"107","SK36014354",1,0,0.002,0
"108","SK00314234",1,0,0.002,0
"109","SK00309150",1,0,0.005,0.09375
"110","SK34107100",1,0,0.005,0.09375
"111","SK36294144",1,0,0.002,0
"112","SK37828100",8,0,0.01,0.25
"113","SK00310905",1,0,0.005,0.09375
"114","SK35701412",1,0,0.005,0.09375
"115","SK36018741",2,0,0.003,0.03125
"116","SK36530328",2,0,0.005,0.09375
"117","SK00397440",2,0,0.003,0.03125
"118","SK17058520",2,0,0.007,0.15625
"119","SK35814730",1,0,0.004,0.0625
"120","SK44802030",1,0,0.003,0.03125
"121","SK43941664",2,0,0.003,0.03125
"122","SK00308307",3,0,0.004,0.0625
"123","SK35802570",1,0,0.002,0
"124","SK00305065",2,0,0.004,0.0625
"125","SK44622686",1,0,0.002,0
"126","SK31104266",1,0,0.003,0.03125
"127","SK00313271",2,0,0.004,0.0625
"128","SK17320429",1,0,0.002,0
"129","SK35759097",1,0,0.004,0.0625
"130","SK34105620",1,0,0.002,0
"131","SK00397865",2,0,0.007,0.15625
"132","SK31617794",1,0,0.004,0.0625
"133","SK36570460",1,0,0.002,0
"134","SK00313980",1,0,0.005,0.09375
"135","SK36380041",1,0,0.005,0.09375
"136","SK46342796",2,0,0.003,0.03125
"137","SK00312002",1,0,0.002,0
"138","SK44987781",1,0,0.003,0.03125
"139","SK36369837",2,0,0.003,0.03125
"140","SK00397687",1,0,0.003,0.03125
"141","SK31589057",1,0,0.002,0
"142","SK44839707",1,0,0.002,0
"143","SK31411908",1,0,0.003,0.03125
"144","SK35974940",1,0,0.004,0.0625
"145","SK35856599",1,0,0.002,0
"146","SK36550949",1,0,0.005,0.09375
"147","SK35911913",1,0,0.005,0.09375
"148","SK31354131",1,0,0.002,0
"149","SK35684615",1,0,0.002,0
"150","SK31690360",3,0,0.005,0.09375
"151","SK36451771",1,0,0.002,0
"152","SK34098674",1,0,0.002,0
"153","SK36683744",2,0,0.004,0.0625
"154","SK35778407",1,0,0.002,0
"155","SK31692648",1,0,0.002,0
"156","SK31568963",3,0,0.004,0.0625
"157","SK00312088",1,0,0.005,0.09375
"158","SK35939141",1,0,0.005,0.09375
"159","SK00319651",1,0,0.005,0.09375
"160","SK31431968",1,0,0.005,0.09375
"161","SK35721278",1,0,0.003,0.03125
"162","SK00612031",2,0,0.006,0.125
"163","SK00397482",1,0,0.005,0.09375
"164","SK31410952",1,0,0.005,0.09375
"165","SK00321192",1,0,0.003,0.03125
"166","SK36390151",1,0,0.004,0.0625
"167","SK43985343",1,0,0.002,0
"168","SK31721079",2,0,0.002,0
"169","SK30232295",2,0,0.005,0.09375
"170","SK36295981",2,0,0.005,0.09375
"171","SK37915568",1,0,0.002,0
"172","SK00157716",1,0,0.003,0.03125
"173","SK00312614",1,0,0.002,0
"174","SK42054575",3,0,0.006,0.125
"175","SK42196868",1,0,0.003,0.03125
"176","SK00014915",1,0,0.002,0
"177","SK36391409",1,0,0.002,0
"178","SK30228247",5,0,0.005,0.09375
"179","SK00684422",5,0,0.005,0.09375
"180","SK44820551",1,0,0.002,0
"181","SK00603481",1,0,0.005,0.09375
"182","SK31322999",1,0,0.005,0.09375
"183","SK35761903",1,0,0.004,0.0625
"184","SK36394645",1,0,0.002,0
"185","SK31606296",4,0,0.006,0.125
"186","SK00321796",1,0,0.002,0
"187","SK31421113",1,0,0.002,0
"188","SK00399957",1,0,0.002,0
"189","SK17070775",1,0,0.002,0
"190","SK00327379",1,0,0.004,0.0625
"191","SK44622287",2,0,0.007,0.15625
"192","SK36616605",1,0,0.003,0.03125
"193","SK31736912",1,0,0.002,0
"194","SK30228883",1,0,0.003,0.03125
"195","SK30807484",1,0,0.002,0
"196","SK00309974",1,0,0.004,0.0625
"197","SK36427845",1,0,0.003,0.03125
"198","SK00681156",1,0,0.005,0.09375
"199","SK43989268",1,0,0.005,0.09375
