"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","CZ00274739",3,0,0.001,0.0625
"2","CZ25963864",4,0,0.001,0.0625
"3","CZ49451871",3,0,0.001,0.0625
"4","CZ49973215",25,0,0.004,0.25
"5","CZ00253464",2,0,0,0
"6","CZ00268810",12,0,0.002,0.125
"7","CZ42228468",7,0,0.001,0.0625
"8","CZ25291408",1,0,0,0
"9","CZ00014915",53,0,0.009,0.5625
"10","CZ00023736",1,0,0,0
"11","CZ46678468",32,0,0.005,0.3125
"12","CZ00261238",17,0,0.002,0.125
"13","CZ25429949",8,0,0.001,0.0625
"14","CZ61988987",7,0,0.001,0.0625
"15","CZ15504158",2,0,0.001,0.0625
"16","CZ00261891",7,0,0.001,0.0625
"17","CZ25014111",8,0,0.001,0.0625
"18","CZ00265781",7,0,0.001,0.0625
"19","CZ61538213",7,0,0.001,0.0625
"20","CZ00671533",19,0,0.003,0.1875
"21","CZ00295647",1,0,0,0
"22","CZ10121765",5,0,0.001,0.0625
"23","CZ68378637",1,0,0.001,0.0625
"24","CZ60469684",1,0,0.001,0.0625
"25","CZ00292311",2,0,0,0
"26","CZ25322257",15,0,0.003,0.1875
"27","CZ00304450",7,0,0.001,0.0625
"28","CZ28315669",8,0,0.002,0.125
"29","CZ70891168",11,0,0.002,0.125
"30","CZ25233866",5,0,0.001,0.0625
"31","CZ00300535",12,0,0.002,0.125
"32","CZ47675853",13,0,0.002,0.125
"33","CZ00063631",3,0,0.001,0.0625
"34","CZ48035599",44,0,0.007,0.4375
"35","CZ00278653",2,0,0.001,0.0625
"36","CZ25861808",2,0,0.001,0.0625
"37","CZ00064203",1,0,0,0
"38","CZ00241563",2,0,0,0
"39","CZ00268097",3,0,0.001,0.0625
"40","CZ15058786",2,0,0.001,0.0625
"41","CZ00390780",1,0,0,0
"42","CZ00531766",16,0,0.003,0.1875
"43","CZ48154938",4,0,0.001,0.0625
"44","CZ25253361",22,0,0.003,0.1875
"45","CZ65050665",2,0,0.001,0.0625
"46","CZ14500671",2,0,0.001,0.0625
"47","CZ14450216",2,0,0.001,0.0625
"48","CZ47972947",2,0,0.001,0.0625
"49","CZ00241202",1,0,0,0
"50","CZ18626084",3,0,0.001,0.0625
"51","CZ46709002",2,0,0,0
"52","CZ48292516",11,0,0.002,0.125
"53","CZ75042860",1,0,0,0
"54","CZ64826121",1,0,0.001,0.0625
"55","CZ15049752",1,0,0.001,0.0625
"56","CZ46789863",1,0,0,0
"57","CZ44566760",3,0,0.001,0.0625
"58","CZ46270981",2,0,0.001,0.0625
"59","CZ25307762",2,0,0.001,0.0625
"60","CZ00016918",1,0,0.001,0.0625
"61","CZ61459364",1,0,0.001,0.0625
"62","CZ00290874",1,0,0,0
"63","CZ46992715",5,0,0.001,0.0625
"64","CZ00278181",1,0,0,0
"65","CZ28402758",9,0,0.002,0.125
"66","CZ70845425",1,0,0,0
"67","CZ63080303",6,0,0.001,0.0625
"68","CZ42340802",9,0,0.001,0.0625
"69","CZ00373249",3,0,0.001,0.0625
"70","CZ25567225",7,0,0.001,0.0625
"71","CZ00235661",3,0,0.001,0.0625
"72","CZ25799746",1,0,0,0
"73","CZ48172898",1,0,0,0
"74","CZ26746573",11,0,0.002,0.125
"75","CZ62156462",3,0,0.001,0.0625
"76","CZ00247138",1,0,0.001,0.0625
"77","CZ26030152",1,0,0.001,0.0625
"78","CZ72045230",3,0,0.001,0.0625
"79","CZ25032739",3,0,0.001,0.0625
"80","CZ70932581",61,0,0.007,0.4375
"81","CZ26271303",95,0,0.011,0.6875
"82","CZ00289965",1,0,0,0
"83","CZ26230992",6,0,0.002,0.125
"84","CZ62157124",3,0,0.001,0.0625
"85","CZ00302724",3,0,0.001,0.0625
"86","CZ75046962",1,0,0,0
"87","CZ25842919",2,0,0.001,0.0625
"88","CZ44992785",81,0,0.013,0.8125
"89","CZ70890749",51,0,0.008,0.5
"90","CZ25337220",5,0,0.001,0.0625
"91","CZ00284301",2,0,0,0
"92","CZ64509745",4,0,0.001,0.0625
"93","CZ00291561",1,0,0,0
"94","CZ45274924",102,0,0.013,0.8125
"95","CZ46956484",8,0,0.001,0.0625
"96","CZ46342796",41,0,0.007,0.4375
"97","CZ00287113",2,0,0.001,0.0625
"98","CZ00287385",1,0,0,0
"99","CZ64508510",2,0,0.001,0.0625
"100","CZ70891508",11,0,0.002,0.125
"101","CZ40233308",8,0,0.002,0.125
"102","CZ13643886",3,0,0.001,0.0625
"103","CZ64651151",1,0,0,0
"104","CZ00236021",4,0,0.001,0.0625
"105","CZ25261282",2,0,0.001,0.0625
"106","CZ64791220",2,0,0,0
"107","CZ26095203",2,0,0.001,0.0625
"108","CZ45021309",3,0,0.001,0.0625
"109","CZ00064581",49,0,0.009,0.5625
