id,Contracts,Bridging Capacity,Influence
HU11385174,1,0,0.012
HU13958147,7,0,0.065
HU728582,5,0,0.032
HU12867619,6,0,0.036
HU15000168,1,0,0.009
HU308427,1,0,0.026
HU10773381,1,0,0.026
HU14605749,1,0,0.020
HU11147073,2,0,0.037
HU734444,1,0,0.013
HU13799047,3,0,0.033
HU10898824,1,0,0.026
HU12928130,1,0,0.026
HU733612,2,0,0.021
HU734477,3,0,0.028
HU728021,3,0,0.032
HU14823495,1,0,0.012
HU13980335,1,0,0.020
HU12898019,3,0,0.037
HU731784,1,0,0.014
HU730084,1,0,0.014
HU20933713,1,0,0.026
HU14292615,1,0,0.026
HU726467,1,0,0.026
HU15000285,1,0,0.026
HU23501894,1,0,0.026
HU23443486,1,0,0.026
HU342515,4,0,0.026
HU10814505,4,0,0.026
HU490737,1,0,0.026
HU10897830,1,0,0.026
HU773065,3,0,0.049
HU12095883,1,0,0.018
HU12351846,1,0,0.018
HU10856417,9,0,0.026
HU12440915,9,0,0.026
HU12492589,1,0,0.018
HU375472,5,0,0.031
HU14771422,3,0,0.020
