id,Contracts,Bridging Capacity,Influence
SK00003328,21,0,0.006
SK30228247,1,0,0.000
SK31651402,12,0,0.003
SK31568963,5,0,0.001
SK35802723,3,0,0.001
SK31611788,9,0,0.003
SK31721079,7,0,0.002
SK31333320,18,0,0.005
SK31651518,21,0,0.006
SK36526185,6,0,0.002
SK34128344,6,0,0.002
SK17317282,31,0,0.009
SK00151491,2,0,0.001
SK31356648,8,0,0.003
SK00151564,1,0,0.001
SK17316260,1,0,0.001
SK00151866,14,0,0.007
SK31345212,1,0,0.001
SK36461733,7,0,0.002
SK35683066,23,0,0.010
SK31439926,1,0,0.001
SK35730170,1,0,0.001
SK31427006,2,0,0.001
SK36388807,1,0,0.001
SK36028606,5,0,0.002
SK35684615,1,0,0.001
SK36465330,2,0,0.001
SK36518492,1,0,0.001
SK31690360,16,0,0.007
SK35912782,1,0,0.001
SK36302031,1,0,0.001
SK00156621,3,0,0.002
SK43811850,1,0,0.001
SK34112103,8,0,0.003
SK10975594,1,0,0.001
SK00156752,2,0,0.002
SK36522457,1,0,0.001
SK30808430,1,0,0.001
SK00157716,1,0,0.001
SK31355161,5,0,0.003
SK00159476,1,0,0.001
SK36168386,2,0,0.002
SK00165182,2,0,0.001
SK00165361,1,0,0.001
SK31321275,2,0,0.002
SK00166481,1,0,0.001
SK36390151,12,0,0.006
SK00179094,1,0,0.001
SK37885529,1,0,0.001
SK00179663,1,0,0.001
SK36582387,1,0,0.001
SK00227811,1,0,0.001
SK36191892,5,0,0.003
SK00304557,1,0,0.001
SK18046428,3,0,0.002
SK00304671,1,0,0.001
SK00896225,4,0,0.003
SK00304786,1,0,0.001
SK00304913,2,0,0.001
SK36328375,8,0,0.004
SK00304956,1,0,0.001
SK35786639,1,0,0.001
SK00305022,1,0,0.001
SK00305103,1,0,0.001
SK35738511,1,0,0.001
SK00305383,1,0,0.001
SK36236403,1,0,0.001
SK00305413,1,0,0.001
SK31408320,1,0,0.001
SK00305537,1,0,0.001
SK00305553,1,0,0.001
SK36231738,1,0,0.001
SK00305642,1,0,0.001
SK36261483,2,0,0.002
SK00305685,1,0,0.001
SK00305766,1,0,0.001
SK31422748,1,0,0.001
SK00305898,1,0,0.001
SK31105696,1,0,0.001
SK00305936,1,0,0.001
SK36219282,1,0,0.001
SK00306011,1,0,0.001
SK36228427,2,0,0.002
SK00306126,1,0,0.001
SK17330165,4,0,0.002
SK00306169,1,0,0.001
SK00306177,1,0,0.001
SK36258547,1,0,0.001
SK00306185,1,0,0.000
SK00306215,1,0,0.001
SK36519481,1,0,0.001
SK00306282,2,0,0.002
SK31413153,1,0,0.001
SK35718625,1,0,0.001
SK00306312,1,0,0.001
SK17593808,1,0,0.001
SK00306363,1,0,0.001
SK36521671,2,0,0.002
SK00306444,1,0,0.001
SK36526002,4,0,0.003
SK00306452,1,0,0.001
SK31412157,1,0,0.001
SK00306487,1,0,0.001
SK31428568,3,0,0.002
SK00306525,2,0,0.001
SK34116711,1,0,0.001
SK00306550,2,0,0.002
SK31429220,1,0,0.001
SK00306606,1,0,0.001
SK00306711,1,0,0.001
SK34107100,2,0,0.002
SK00306916,1,0,0.001
SK36557277,1,0,0.001
SK00306975,1,0,0.001
SK34109919,2,0,0.002
SK00307092,1,0,0.001
SK30071216,1,0,0.001
SK00307203,2,0,0.001
SK36524735,3,0,0.002
SK00307416,1,0,0.001
SK36547441,1,0,0.001
SK00307513,1,0,0.001
SK00307700,1,0,0.001
SK36380041,3,0,0.002
SK00307726,1,0,0.001
SK36530328,1,0,0.001
SK00307769,2,0,0.002
SK35922737,1,0,0.001
SK35101199,2,0,0.002
SK00307777,1,0,0.001
SK36385743,2,0,0.002
SK00307785,2,0,0.001
SK14410923,2,0,0.001
SK31435513,3,0,0.002
SK00308307,1,0,0.001
SK35974940,3,0,0.002
