id,Contracts,Bridging Capacity,Influence
HU725361,7,0,0.010
HU10457726,5,0,0.007
HU12006003,11,0,0.009
HU12293995,5,0,0.004
HU308450,2,0,0.005
HU14580646,1,0,0.003
HU308438,4,0,0.006
HU23108800,1,0,0.002
HU736129,2,0,0.005
HU10732009,2,0,0.005
HU735737,4,0,0.008
HU11474762,2,0,0.004
HU728571,2,0,0.005
HU14839689,3,0,0.007
HU10925399,4,0,0.006
HU731256,1,0,0.004
HU13959272,1,0,0.004
HU732879,3,0,0.006
HU11275824,2,0,0.004
HU14249882,1,0,0.003
HU11582395,2,0,0.006
HU726456,1,0,0.004
HU11062103,1,0,0.004
HU720179,2,0,0.006
HU11143419,1,0,0.003
HU11900870,1,0,0.003
HU732660,3,0,0.004
HU13063674,3,0,0.004
HU20373573,1,0,0.003
HU12371260,5,0,0.004
HU726995,1,0,0.004
HU10879016,1,0,0.004
HU726984,2,0,0.004
HU13449216,2,0,0.004
HU735287,2,0,0.006
HU10657720,1,0,0.003
HU726445,1,0,0.003
HU728021,2,0,0.005
HU46766159,1,0,0.003
HU733591,1,0,0.004
HU10921144,1,0,0.004
HU329848,4,0,0.010
HU22388559,1,0,0.003
HU349921,1,0,0.004
HU11061391,1,0,0.004
HU731333,1,0,0.004
HU20178567,1,0,0.004
HU731311,1,0,0.002
HU735627,2,0,0.006
HU11889094,1,0,0.003
HU14749753,1,0,0.003
HU729325,4,0,0.008
HU11166829,1,0,0.002
HU329354,18,0,0.008
HU12999859,1,0,0.001
HU329815,4,0,0.006
HU12826708,3,0,0.005
HU14820856,1,0,0.004
HU20248581,1,0,0.004
HU329804,7,0,0.012
HU13196729,1,0,0.002
HU722722,2,0,0.006
HU10679562,1,0,0.003
HU597308,3,0,0.006
HU15000087,1,0,0.002
HU14364404,1,0,0.004
HU22334086,1,0,0.004
HU725228,2,0,0.006
HU23432091,1,0,0.003
HU14793439,1,0,0.002
HU378011,1,0,0.004
HU12579509,1,0,0.004
HU18062771,1,0,0.001
HU728351,1,0,0.004
HU15000069,1,0,0.004
HU13164490,16,0,0.007
HU733283,1,0,0.004
HU10222115,1,0,0.004
HU10464784,1,0,0.002
HU10742833,1,0,0.004
HU15000282,1,0,0.004
HU14400843,1,0,0.003
HU18635463,1,0,0.003
HU731092,1,0,0.004
HU15000289,1,0,0.004
HU732813,1,0,0.003
HU10417050,2,0,0.005
HU728043,1,0,0.004
HU15000268,1,0,0.004
HU725349,1,0,0.002
HU10456787,2,0,0.005
HU10360855,1,0,0.002
HU10767575,2,0,0.004
HU308373,1,0,0.004
HU10637784,1,0,0.004
HU14605749,4,0,0.008
HU15000307,1,0,0.002
HU733656,1,0,0.004
HU13535818,1,0,0.004
HU12287189,1,0,0.002
HU735748,1,0,0.004
HU22125448,1,0,0.004
HU14287604,1,0,0.003
HU726917,1,0,0.003
HU734291,1,0,0.004
HU12479045,1,0,0.004
HU735715,1,0,0.004
HU12293005,1,0,0.004
HU14542130,1,0,0.004
HU23323481,1,0,0.004
HU727772,1,0,0.004
HU10367735,1,0,0.004
HU311410,1,0,0.004
HU15327064,1,0,0.004
HU10418109,1,0,0.002
HU10669769,1,0,0.003
HU10569731,1,0,0.002
HU309765,1,0,0.004
HU13629229,1,0,0.004
HU13427326,2,0,0.004
HU12669617,3,0,0.005
HU726489,2,0,0.005
HU12736384,1,0,0.003
HU735584,5,0,0.008
HU22825351,1,0,0.002
HU430289,1,0,0.004
HU11335980,1,0,0.004
HU13882914,1,0,0.002
HU764289,2,0,0.004
HU18868072,2,0,0.004
HU726621,1,0,0.003
HU13960894,2,0,0.006
HU735869,1,0,0.001
HU10752849,7,0,0.005
HU725053,1,0,0.002
HU384005,1,0,0.003
HU725536,2,0,0.006
HU13343385,1,0,0.003
HU12638925,1,0,0.003
HU735683,1,0,0.004
HU15000150,1,0,0.004
HU309985,3,0,0.004
HU12387942,3,0,0.004
HU725163,1,0,0.004
HU11047272,1,0,0.004
HU735638,4,0,0.010
HU15000317,1,0,0.003
HU728944,2,0,0.005
HU402570,1,0,0.004
HU13215613,1,0,0.004
HU18680188,1,0,0.004
HU13183909,1,0,0.004
HU12257728,1,0,0.003
HU308416,1,0,0.004
HU11482257,1,0,0.004
HU724045,1,0,0.004
HU14658833,1,0,0.004
HU329826,4,0,0.006
HU13506087,3,0,0.005
HU380074,1,0,0.004
HU15000001,1,0,0.004
HU13487904,1,0,0.002
HU724221,1,0,0.004
HU12136399,1,0,0.004
HU11420309,1,0,0.003
HU308427,1,0,0.004
HU26857297,1,0,0.004
HU10922839,1,0,0.003
HU724308,1,0,0.004
HU18084922,1,0,0.004
HU728328,1,0,0.003
HU726928,1,0,0.004
HU12891603,1,0,0.004
HU11906522,4,0,0.010
HU12087178,1,0,0.003
HU12344709,1,0,0.003
HU735605,1,0,0.004
