id,Contracts,Bridging Capacity,Influence
SK44444761,1,0,0.003
SK36328375,4,0,0.011
SK00634816,3,0,0.005
SK36378143,3,0,0.005
SK00397768,2,0,0.004
SK36191892,5,0,0.009
SK00325490,6,0,0.008
SK31651518,17,0,0.016
SK36022047,3,0,0.009
SK43900542,1,0,0.003
SK31662919,1,0,0.002
SK36724530,4,0,0.006
SK36455849,3,0,0.005
SK00326470,2,0,0.002
SK36672297,1,0,0.002
SK31356648,5,0,0.006
SK00607231,1,0,0.005
SK31612709,1,0,0.005
SK00305383,1,0,0.004
SK35718625,2,0,0.007
SK00321125,2,0,0.004
SK35683066,23,0,0.032
SK00311812,3,0,0.004
SK49062557,4,0,0.005
SK35919001,28,0,0.027
SK00313114,2,0,0.007
SK36004111,1,0,0.004
SK00315737,5,0,0.007
SK36052981,2,0,0.003
SK00003328,25,0,0.026
SK35802723,7,0,0.008
SK37861298,10,0,0.019
SK34128344,8,0,0.011
SK00165182,2,0,0.005
SK36526185,2,0,0.005
SK36378844,2,0,0.006
SK00151866,21,0,0.034
SK00603376,1,0,0.002
SK31439926,1,0,0.002
SK37801279,1,0,0.004
SK00896225,2,0,0.007
SK00329657,1,0,0.002
SK17317282,34,0,0.033
SK00329614,5,0,0.006
SK31355161,4,0,0.006
SK00327735,1,0,0.005
SK00155764,1,0,0.005
SK37808427,9,0,0.011
SK35555777,2,0,0.002
SK37870475,10,0,0.010
SK36461733,1,0,0.002
SK34112103,8,0,0.010
SK34134557,1,0,0.002
SK00307203,2,0,0.004
SK31611788,5,0,0.006
SK00306606,1,0,0.002
SK00317721,1,0,0.004
SK00313726,1,0,0.005
SK31631134,1,0,0.005
SK31333320,8,0,0.009
SK00691135,5,0,0.007
SK44651431,1,0,0.002
SK31651402,11,0,0.011
SK00306169,2,0,0.003
SK00323560,3,0,0.005
SK35806621,2,0,0.004
SK37836901,9,0,0.009
SK35829141,1,0,0.005
SK35769840,1,0,0.005
SK00610577,1,0,0.002
SK31322301,1,0,0.002
SK00165549,2,0,0.003
SK35723041,1,0,0.002
SK36465330,1,0,0.002
SK00326518,4,0,0.005
SK35541016,3,0,0.003
SK00319805,1,0,0.002
SK31966977,1,0,0.003
SK43874703,2,0,0.004
SK37936859,14,0,0.013
SK35727951,1,0,0.002
SK45470651,1,0,0.002
SK00332933,3,0,0.005
SK00327646,1,0,0.002
SK00319091,1,0,0.004
SK31643841,2,0,0.004
SK00318094,1,0,0.003
SK00309982,1,0,0.002
SK00310182,1,0,0.002
SK35740655,9,0,0.014
SK36126624,3,0,0.005
SK36834921,1,0,0.002
SK00326283,1,0,0.002
SK00311561,1,0,0.002
SK00603147,2,0,0.007
SK36261483,1,0,0.004
SK37938126,1,0,0.002
SK00311162,3,0,0.008
SK34138692,2,0,0.005
SK00320439,3,0,0.006
SK34278532,1,0,0.002
SK00321842,1,0,0.002
SK64508510,1,0,0.003
SK00323021,4,0,0.009
SK36524735,1,0,0.002
SK00330167,2,0,0.005
SK36014354,1,0,0.002
SK00314234,1,0,0.002
SK00309150,1,0,0.005
SK34107100,1,0,0.005
SK36294144,1,0,0.002
SK37828100,8,0,0.010
SK00310905,1,0,0.005
SK35701412,1,0,0.005
SK36018741,2,0,0.003
SK36530328,2,0,0.005
SK00397440,2,0,0.003
SK17058520,2,0,0.007
SK35814730,1,0,0.004
SK44802030,1,0,0.003
SK43941664,2,0,0.003
SK00308307,3,0,0.004
SK35802570,1,0,0.002
SK00305065,2,0,0.004
SK44622686,1,0,0.002
SK31104266,1,0,0.003
SK00313271,2,0,0.004
SK17320429,1,0,0.002
SK35759097,1,0,0.004
SK34105620,1,0,0.002
SK00397865,2,0,0.007
SK31617794,1,0,0.004
SK36570460,1,0,0.002
SK00313980,1,0,0.005
SK36380041,1,0,0.005
SK46342796,2,0,0.003
SK00312002,1,0,0.002
SK44987781,1,0,0.003
SK36369837,2,0,0.003
SK00397687,1,0,0.003
SK31589057,1,0,0.002
SK44839707,1,0,0.002
SK31411908,1,0,0.003
SK35974940,1,0,0.004
SK35856599,1,0,0.002
SK36550949,1,0,0.005
SK35911913,1,0,0.005
SK31354131,1,0,0.002
SK35684615,1,0,0.002
SK31690360,3,0,0.005
SK36451771,1,0,0.002
SK34098674,1,0,0.002
SK36683744,2,0,0.004
SK35778407,1,0,0.002
SK31692648,1,0,0.002
SK31568963,3,0,0.004
SK00312088,1,0,0.005
SK35939141,1,0,0.005
SK00319651,1,0,0.005
SK31431968,1,0,0.005
SK35721278,1,0,0.003
SK00612031,2,0,0.006
SK00397482,1,0,0.005
SK31410952,1,0,0.005
SK00321192,1,0,0.003
SK36390151,1,0,0.004
SK43985343,1,0,0.002
SK31721079,2,0,0.002
SK30232295,2,0,0.005
SK36295981,2,0,0.005
SK37915568,1,0,0.002
SK00157716,1,0,0.003
SK00312614,1,0,0.002
SK42054575,3,0,0.006
SK42196868,1,0,0.003
SK00014915,1,0,0.002
SK36391409,1,0,0.002
SK30228247,5,0,0.005
SK00684422,5,0,0.005
SK44820551,1,0,0.002
SK00603481,1,0,0.005
SK31322999,1,0,0.005
SK35761903,1,0,0.004
SK36394645,1,0,0.002
SK31606296,4,0,0.006
SK00321796,1,0,0.002
SK31421113,1,0,0.002
SK00399957,1,0,0.002
SK17070775,1,0,0.002
SK00327379,1,0,0.004
SK44622287,2,0,0.007
SK36616605,1,0,0.003
SK31736912,1,0,0.002
SK30228883,1,0,0.003
SK30807484,1,0,0.002
SK00309974,1,0,0.004
SK36427845,1,0,0.003
SK00681156,1,0,0.005
SK43989268,1,0,0.005
