id,Contracts,Bridging Capacity,Influence
HU724540,23,0,0.005
HU15000217,22,0,0.005
HU735748,9,0,0.010
HU12026946,2,0,0.002
HU731322,7,0,0.007
HU11316529,2,0,0.002
HU12045716,3,0,0.003
HU726456,6,0,0.009
HU11062103,2,0,0.004
HU728537,1,0,0.004
HU11142102,1,0,0.004
HU12257728,4,0,0.004
HU728944,3,0,0.007
HU11956266,1,0,0.003
HU732198,1,0,0.004
HU14393383,1,0,0.004
HU726490,2,0,0.005
HU12468320,1,0,0.003
HU729325,6,0,0.008
HU11385277,1,0,0.002
HU724429,2,0,0.005
HU14480443,1,0,0.003
HU728032,1,0,0.004
HU10888162,1,0,0.004
HU329354,7,0,0.004
HU13164490,7,0,0.004
HU12487293,1,0,0.003
HU731290,1,0,0.004
HU10725591,1,0,0.004
HU724319,2,0,0.005
HU20443140,1,0,0.003
HU735715,1,0,0.004
HU13656838,1,0,0.004
HU12165814,3,0,0.007
HU12050741,1,0,0.003
HU726445,1,0,0.004
HU11582395,1,0,0.004
HU727398,1,0,0.004
HU13327295,1,0,0.004
HU724012,3,0,0.004
HU10683967,3,0,0.004
HU730095,1,0,0.003
HU10522532,2,0,0.005
HU728746,2,0,0.005
HU13582432,1,0,0.003
HU14719598,1,0,0.003
HU731113,1,0,0.004
HU15000248,1,0,0.004
HU429739,2,0,0.004
HU12579509,2,0,0.004
HU14658833,1,0,0.003
HU490650,1,0,0.003
HU10820847,2,0,0.005
HU735638,23,0,0.024
HU13268422,1,0,0.001
HU735793,1,0,0.004
HU12938263,1,0,0.004
HU725097,1,0,0.004
HU13224082,1,0,0.004
HU726928,1,0,0.004
HU26057820,1,0,0.004
HU308900,1,0,0.004
HU11971829,1,0,0.004
HU732671,2,0,0.004
HU14136041,2,0,0.004
HU727002,2,0,0.003
HU12068528,1,0,0.002
HU728328,3,0,0.004
HU11143419,6,0,0.009
HU725053,3,0,0.007
HU20866015,1,0,0.003
HU731487,2,0,0.004
HU10336476,2,0,0.004
HU726489,2,0,0.004
HU12573974,2,0,0.004
HU733283,2,0,0.004
HU10222115,2,0,0.004
HU735627,3,0,0.007
HU14768523,1,0,0.003
HU730138,1,0,0.003
HU445847,1,0,0.004
HU15000160,1,0,0.004
HU327877,1,0,0.004
HU13960557,1,0,0.004
HU428886,1,0,0.003
HU733568,3,0,0.005
HU10539624,2,0,0.004
HU22398871,1,0,0.003
HU308791,1,0,0.003
HU10569731,3,0,0.007
HU311454,1,0,0.004
HU10657555,1,0,0.004
HU12037984,5,0,0.005
HU402570,2,0,0.003
HU10543359,1,0,0.002
HU336280,1,0,0.002
HU728043,1,0,0.004
HU13244729,1,0,0.004
HU730150,1,0,0.004
HU13709785,1,0,0.004
HU735858,2,0,0.005
HU15308799,1,0,0.003
HU402723,1,0,0.003
HU13427694,2,0,0.005
HU11906522,10,0,0.010
HU10554885,7,0,0.009
HU14542130,1,0,0.003
HU735760,1,0,0.004
HU10500264,1,0,0.004
HU735616,1,0,0.004
HU10792357,1,0,0.004
HU14168820,1,0,0.004
HU10605455,1,0,0.004
HU408055,1,0,0.003
HU384061,1,0,0.003
HU728548,1,0,0.004
HU14778900,1,0,0.004
HU727705,1,0,0.002
HU15000305,2,0,0.003
HU10464784,1,0,0.003
HU15000150,1,0,0.003
HU10893850,34,0,0.012
HU13253332,1,0,0.001
HU734444,2,0,0.003
HU12915145,1,0,0.002
HU360023,1,0,0.004
HU10499700,1,0,0.004
HU83,1,0,0.001
HU731773,1,0,0.004
HU13852773,1,0,0.004
HU13169165,1,0,0.003
HU726269,1,0,0.004
HU71605014,1,0,0.004
HU724913,1,0,0.004
HU15000178,1,0,0.004
HU10220065,1,0,0.003
HU10751257,3,0,0.003
HU10851395,1,0,0.003
HU730105,10,0,0.013
HU13260015,1,0,0.002
HU731784,1,0,0.004
HU11243461,1,0,0.004
HU14664340,1,0,0.003
HU311487,1,0,0.004
HU10434206,1,0,0.004
HU325774,1,0,0.004
HU13434717,1,0,0.004
HU724737,1,0,0.004
HU20455495,1,0,0.004
HU13960894,1,0,0.001
HU491020,1,0,0.004
HU12475182,1,0,0.004
HU342515,1,0,0.004
HU11555683,1,0,0.004
HU11222637,3,0,0.004
HU725723,1,0,0.003
HU10418453,2,0,0.005
HU12879744,3,0,0.003
HU396859,1,0,0.004
HU12095838,1,0,0.004
HU726917,1,0,0.002
HU329804,1,0,0.004
HU10941362,1,0,0.004
HU432524,1,0,0.004
HU12157817,1,0,0.004
HU729600,1,0,0.004
HU18010626,1,0,0.004
HU735771,1,0,0.004
HU10336706,1,0,0.004
HU28229612,1,0,0.001
HU730435,1,0,0.004
HU14530579,1,0,0.004
HU732703,1,0,0.004
HU10417050,1,0,0.004
HU11383079,1,0,0.002
HU734301,1,0,0.004
HU10925399,1,0,0.004
HU12879311,1,0,0.003
HU732879,1,0,0.004
HU10418109,1,0,0.004
HU735584,3,0,0.005
HU13960571,2,0,0.004
HU10752849,9,0,0.003
HU13223878,1,0,0.003
HU484996,1,0,0.004
HU10442179,1,0,0.004
HU14474431,1,0,0.003
HU725514,1,0,0.004
HU11051914,1,0,0.004
HU22143200,2,0,0.005
HU13648075,1,0,0.003
HU11708616,3,0,0.004
HU355937,1,0,0.004
HU11718873,1,0,0.004
HU726083,4,0,0.006
HU10710212,2,0,0.003
HU728395,1,0,0.004
HU10581236,1,0,0.004
HU733656,6,0,0.007
HU11302557,1,0,0.002
HU15000151,2,0,0.003
HU14138689,2,0,0.003
HU733371,1,0,0.004
HU11001036,1,0,0.004
HU23246052,1,0,0.002
HU735737,2,0,0.002
HU308801,1,0,0.002
HU726731,1,0,0.004
HU14287147,1,0,0.004
HU10258802,1,0,0.002
HU724935,1,0,0.004
HU15000271,1,0,0.004
HU12093252,3,0,0.004
HU372383,1,0,0.004
HU12237469,1,0,0.004
HU725361,2,0,0.005
HU13623168,1,0,0.003
HU10941568,1,0,0.002
HU10832972,1,0,0.001
HU308416,1,0,0.004
HU10321551,1,0,0.004
HU735265,1,0,0.004
HU18084922,1,0,0.004
HU10388136,10,0,0.004
HU14419250,1,0,0.002
HU735605,1,0,0.004
HU15000362,1,0,0.004
HU725503,1,0,0.002
HU13842217,8,0,0.004
HU10732009,4,0,0.005
HU731432,1,0,0.002
HU734455,1,0,0.004
HU15000437,1,0,0.004
HU12021453,8,0,0.003
HU731267,1,0,0.002
HU10637784,5,0,0.005
HU12824225,2,0,0.003
HU13187415,1,0,0.001
HU15000088,1,0,0.002
HU11474762,3,0,0.005
HU12602908,1,0,0.002
HU730127,1,0,0.002
HU12712485,1,0,0.001
HU14341513,1,0,0.001
HU14225907,2,0,0.003
HU15000229,3,0,0.003
HU735726,4,0,0.006
HU14452321,1,0,0.002
HU10663581,2,0,0.003
HU11057367,1,0,0.003
HU11169987,1,0,0.003
HU20599052,1,0,0.001
HU730864,1,0,0.002
HU12858336,1,0,0.002
HU730897,1,0,0.003
HU22247067,1,0,0.004
HU11083638,1,0,0.004
HU11805201,1,0,0.002
HU13628084,1,0,0.002
HU10981959,1,0,0.002
HU15000410,1,0,0.001
HU727091,1,0,0.004
HU13506726,1,0,0.004
HU746034,2,0,0.004
HU14548806,2,0,0.004
HU20597407,1,0,0.002
HU735595,2,0,0.005
HU11613785,1,0,0.003
HU15000200,1,0,0.001
HU11122582,1,0,0.003
HU13099581,2,0,0.002
HU12147715,3,0,0.005
HU12227147,2,0,0.004
HU10624672,1,0,0.002
HU13390961,1,0,0.001
