id,Contracts,Bridging Capacity,Influence
HU732725,6,0,0.001
HU10950676,7,0,0.001
HU725592,2,0,0.000
HU11974585,3,0,0.001
HU724045,3,0,0.001
HU13842516,2,0,0.000
HU542308,9,0,0.001
HU15000090,2,0,0.000
HU15000312,1,0,0.000
HU10482254,6,0,0.001
HU12543331,4,0,0.001
HU11257426,1,0,0.000
HU10941362,4,0,0.001
HU10706587,2,0,0.000
HU725646,2,0,0.001
HU11580317,2,0,0.001
HU10442540,1,0,0.000
HU724463,3,0,0.001
HU10553602,3,0,0.000
HU10053308,1,0,0.001
HU11432207,1,0,0.001
HU13479763,1,0,0.001
HU13092010,1,0,0.001
HU12035786,1,0,0.001
HU12488256,1,0,0.001
HU735649,5,0,0.001
HU12810370,8,0,0.001
HU731630,1,0,0.000
HU12141867,119,0,0.011
HU10845761,1,0,0.000
HU12679719,1,0,0.000
HU735595,5,0,0.001
HU15000245,1,0,0.000
HU18455058,6,0,0.001
HU13910167,90,0,0.008
HU731553,2,0,0.001
HU13934097,2,0,0.001
HU732352,2,0,0.000
HU15000008,1,0,0.000
HU724319,12,0,0.001
HU10865271,1,0,0.000
HU18065877,1,0,0.000
HU12004269,3,0,0.001
HU728142,1,0,0.000
HU11469830,4,0,0.001
HU11337717,1,0,0.000
HU12809813,2,0,0.001
HU11152668,5,0,0.001
HU11986270,7,0,0.001
HU727189,2,0,0.000
HU10642166,21,0,0.003
HU542319,1,0,0.001
HU15761581,1,0,0.001
HU733436,3,0,0.000
HU10623293,9,0,0.001
HU735715,17,0,0.002
HU13932985,1,0,0.000
HU14290675,2,0,0.001
HU11380272,2,0,0.001
HU730314,1,0,0.000
HU10452556,32,0,0.003
HU727529,2,0,0.000
HU10441240,2,0,0.000
HU492313,1,0,0.000
HU12222094,3,0,0.000
HU731256,6,0,0.001
HU13523398,7,0,0.001
HU732055,2,0,0.001
HU12926743,1,0,0.000
HU11303682,1,0,0.000
HU730853,4,0,0.001
HU735638,25,0,0.003
HU10000017,6,0,0.001
HU15000437,2,0,0.000
HU10856417,25,0,0.003
HU10846810,1,0,0.000
HU725053,4,0,0.001
HU10381603,5,0,0.001
HU731070,3,0,0.000
HU726346,2,0,0.001
HU10497746,3,0,0.001
HU735584,3,0,0.001
HU15000080,1,0,0.000
HU10759358,2,0,0.000
HU726906,8,0,0.001
HU15329750,3,0,0.001
HU12656770,3,0,0.001
HU358729,1,0,0.001
HU10602366,1,0,0.001
HU13792679,320,0,0.004
HU11099004,181,0,0.002
HU727617,2,0,0.000
HU11113625,1,0,0.000
HU490012,2,0,0.000
HU10639968,17,0,0.002
HU729435,12,0,0.001
HU11925804,8,0,0.001
HU731773,2,0,0.000
HU14299526,9,0,0.002
HU735793,39,0,0.003
HU11906522,17,0,0.002
HU10773381,1,0,0.000
HU10640432,4,0,0.000
HU12633731,8,0,0.001
HU19204886,1,0,0.001
HU28710303,1,0,0.001
HU735760,8,0,0.001
HU12558593,1,0,0.000
HU14459191,1,0,0.000
HU13875475,7,0,0.001
HU20970383,4,0,0.001
HU10578863,16,0,0.002
HU735418,3,0,0.001
HU14791918,2,0,0.001
HU329794,3,0,0.001
HU10738885,14,0,0.002
HU734158,3,0,0.000
HU730259,5,0,0.001
HU11267339,3,0,0.001
HU730105,59,0,0.004
HU12246704,1,0,0.000
HU12147715,23,0,0.002
HU14811573,4,0,0.000
HU731751,1,0,0.000
HU13748429,11,0,0.002
HU18836114,1,0,0.001
HU20271828,1,0,0.001
HU311508,1,0,0.000
HU12627080,3,0,0.001
HU731861,9,0,0.001
HU15000028,2,0,0.000
HU734608,2,0,0.000
HU10660612,8,0,0.001
HU15000420,1,0,0.000
HU11907619,26,0,0.000
HU10568723,5,0,0.000
HU22100012,2,0,0.000
HU10962787,3,0,0.001
HU451347,1,0,0.000
HU11212920,3,0,0.001
HU10756056,19,0,0.000
HU13879242,24,0,0.000
HU724540,24,0,0.001
HU15000099,22,0,0.001
HU308801,2,0,0.001
HU10722574,2,0,0.001
HU445847,1,0,0.001
HU15000190,1,0,0.001
HU10386471,19,0,0.000
HU10823541,16,0,0.000
HU453208,2,0,0.000
HU11178583,9,0,0.001
HU11023524,27,0,0.001
HU11928711,1,0,0.001
HU15000344,1,0,0.001
HU426705,1,0,0.001
HU12487712,1,0,0.001
HU730930,3,0,0.001
HU20678153,3,0,0.001
HU11153937,6,0,0.000
HU13817909,1,0,0.000
HU12599576,2,0,0.001
HU10247383,1,0,0.000
HU722722,1,0,0.000
HU11393580,2,0,0.000
HU11505822,2,0,0.000
HU730655,3,0,0.000
HU15000115,6,0,0.001
HU391601,1,0,0.001
HU10804908,1,0,0.001
HU727398,7,0,0.001
HU10429549,15,0,0.001
HU735771,15,0,0.002
HU725514,6,0,0.001
HU11426628,42,0,0.004
HU18926899,1,0,0.001
HU11670061,1,0,0.001
HU725525,4,0,0.001
HU10665387,1,0,0.000
HU12186253,1,0,0.001
HU11927239,1,0,0.001
HU725107,2,0,0.000
HU11042851,5,0,0.001
HU720388,3,0,0.001
HU10908174,2,0,0.000
HU15000114,11,0,0.001
HU11059297,5,0,0.001
HU763138,2,0,0.000
HU10362998,9,0,0.001
HU397395,2,0,0.000
HU13283762,3,0,0.000
HU727321,2,0,0.000
HU725855,1,0,0.000
HU15000400,4,0,0.001
HU18089934,1,0,0.000
HU14605749,53,0,0.004
HU734202,17,0,0.002
HU10739893,3,0,0.000
HU12182888,1,0,0.001
HU12402210,1,0,0.001
HU729325,40,0,0.003
HU12611456,3,0,0.000
HU329882,2,0,0.000
HU12358427,6,0,0.001
HU308416,2,0,0.001
HU15000110,1,0,0.000
HU726467,8,0,0.001
HU13992477,5,0,0.001
HU14460706,1,0,0.000
HU12523326,4,0,0.001
HU358763,9,0,0.001
HU11114578,10,0,0.001
HU15000027,2,0,0.000
HU15000331,1,0,0.000
HU734235,2,0,0.000
HU20914431,1,0,0.000
HU12169210,4,0,0.001
HU13303482,1,0,0.000
HU15000012,3,0,0.000
HU734378,6,0,0.001
HU12656189,14,0,0.002
HU11344304,3,0,0.000
HU484996,20,0,0.002
HU13199052,1,0,0.000
HU308395,4,0,0.001
HU14065899,2,0,0.000
HU18665161,2,0,0.000
HU10785234,5,0,0.001
HU729600,10,0,0.001
HU15000338,4,0,0.000
HU14461453,1,0,0.000
HU15000378,4,0,0.001
HU746034,30,0,0.004
HU329848,8,0,0.001
HU14770603,4,0,0.001
HU725020,1,0,0.000
HU12558218,9,0,0.002
HU730929,2,0,0.000
HU13295684,1,0,0.000
HU730941,4,0,0.001
HU21784756,1,0,0.001
HU14433764,1,0,0.001
HU11876566,9,0,0.001
HU12952557,1,0,0.000
HU14058532,1,0,0.000
HU303082,8,0,0.001
HU12526927,1,0,0.000
HU436807,1,0,0.000
HU13028367,5,0,0.001
HU436764,1,0,0.000
HU732682,3,0,0.001
HU15000214,2,0,0.000
HU10639205,1,0,0.000
HU13217471,3,0,0.001
HU14460775,1,0,0.000
HU11266101,24,0,0.002
HU427559,3,0,0.001
HU11338976,3,0,0.001
HU308472,3,0,0.001
HU10602311,4,0,0.001
HU12890121,1,0,0.001
HU10655096,1,0,0.001
HU311409,4,0,0.001
HU10519107,1,0,0.000
HU727200,4,0,0.001
HU14624337,3,0,0.000
HU308373,7,0,0.001
HU15000307,1,0,0.000
HU12166602,7,0,0.002
HU15000007,1,0,0.000
HU15000014,4,0,0.001
HU395885,2,0,0.000
HU18887684,1,0,0.001
HU12760457,1,0,0.001
HU728427,1,0,0.000
HU305668,1,0,0.001
HU10659203,1,0,0.001
HU726609,2,0,0.000
HU735319,1,0,0.000
HU379250,2,0,0.001
HU11178167,2,0,0.001
HU501024,41,0,0.002
HU12216013,4,0,0.000
HU13085306,5,0,0.000
