id,Contracts,Bridging Capacity,Influence
HU18089996,77,0,0.008
HU15000355,31,0,0.003
HU15000356,18,0,0.002
HU727200,1,0,0.004
HU11453172,1,0,0.004
HU325884,2,0,0.003
HU10973581,4,0,0.005
HU12283226,7,0,0.016
HU28244828,1,0,0.003
HU734291,1,0,0.004
HU13361989,1,0,0.004
HU18461376,9,0,0.008
HU11393982,4,0,0.004
HU10356113,7,0,0.010
HU10935013,1,0,0.002
HU12166602,1,0,0.004
HU12691908,1,0,0.004
HU321204,1,0,0.004
HU10856211,1,0,0.004
HU735638,23,0,0.018
HU15000023,1,0,0.001
HU12886513,3,0,0.003
HU12285314,15,0,0.011
HU598327,1,0,0.004
HU10837410,1,0,0.004
HU18237010,1,0,0.004
HU12962240,1,0,0.004
HU311399,1,0,0.004
HU12580327,1,0,0.004
HU731487,1,0,0.004
HU14329977,1,0,0.004
HU735803,8,0,0.006
HU11869852,7,0,0.006
HU597759,1,0,0.004
HU10728350,1,0,0.004
HU730688,1,0,0.004
HU21448698,1,0,0.004
HU329871,1,0,0.004
HU10256161,1,0,0.004
HU18127492,2,0,0.006
HU11933595,1,0,0.003
HU308801,6,0,0.012
HU10368884,1,0,0.002
HU735869,1,0,0.003
HU12786293,2,0,0.006
HU11819943,1,0,0.002
HU735704,1,0,0.003
HU10386921,2,0,0.006
HU20933713,8,0,0.014
HU11387729,2,0,0.004
HU733656,3,0,0.003
HU12140732,1,0,0.002
HU762944,3,0,0.006
HU10435953,1,0,0.002
HU727002,1,0,0.001
HU731300,1,0,0.004
HU12031627,1,0,0.004
HU15000078,3,0,0.003
HU12169210,4,0,0.006
HU12877096,1,0,0.002
HU725361,11,0,0.014
HU13677916,2,0,0.003
HU726621,2,0,0.006
HU14342806,1,0,0.003
HU329530,1,0,0.004
HU11712152,1,0,0.004
HU10324224,1,0,0.004
HU10798449,1,0,0.004
HU12376447,28,0,0.003
HU12013212,1,0,0.002
HU21168516,3,0,0.004
HU15000224,2,0,0.003
HU329749,2,0,0.006
HU13240433,1,0,0.003
HU14,1,0,0.002
HU329859,2,0,0.006
HU13722016,1,0,0.003
HU12568011,2,0,0.004
HU12698084,2,0,0.004
HU329815,4,0,0.006
HU12489594,3,0,0.005
HU15000325,1,0,0.001
HU309985,1,0,0.003
HU11583592,1,0,0.002
HU14380752,2,0,0.004
HU728043,2,0,0.006
HU10272172,1,0,0.002
HU10901232,83,0,0.078
HU14951181,16,0,0.013
HU10605125,2,0,0.006
HU13924706,1,0,0.003
HU12994139,4,0,0.005
HU10908679,1,0,0.003
HU11906522,1,0,0.004
HU15000368,1,0,0.004
HU494351,3,0,0.005
HU10947320,4,0,0.006
HU22460316,10,0,0.009
HU10276107,3,0,0.005
HU323868,1,0,0.004
HU11165275,1,0,0.004
HU10412426,1,0,0.003
HU14247316,2,0,0.002
HU328665,1,0,0.004
HU10626540,1,0,0.004
HU61536382,1,0,0.001
HU14259386,8,0,0.007
HU61204571,3,0,0.003
HU49059878,2,0,0.002
HU15451299,1,0,0.001
HU63032341,3,0,0.003
HU65437979,2,0,0.002
HU51859981,1,0,0.001
HU14841817,1,0,0.001
HU14962813,2,0,0.002
HU14601477,1,0,0.001
HU53451376,1,0,0.001
HU18423121,1,0,0.002
HU12540400,4,0,0.003
HU13733102,2,0,0.003
HU13755346,2,0,0.002
HU61042131,1,0,0.001
HU60047559,1,0,0.001
HU20789095,1,0,0.001
HU51888633,1,0,0.001
HU149,1,0,0.002
HU18084922,6,0,0.010
HU10262070,1,0,0.002
HU15000291,1,0,0.002
HU721473,1,0,0.004
HU15000036,1,0,0.004
HU15000276,1,0,0.003
HU15334338,1,0,0.001
HU15000263,3,0,0.003
HU12934245,1,0,0.003
HU10867527,3,0,0.005
HU10011953,1,0,0.004
HU12390607,1,0,0.004
HU14605749,1,0,0.004
HU11018661,1,0,0.004
HU13320047,1,0,0.002
HU215,2,0,0.004
HU60168201,1,0,0.001
HU11147729,1,0,0.001
HU597649,2,0,0.004
HU12282799,2,0,0.004
HU62299783,1,0,0.001
HU752183,1,0,0.004
HU12252730,1,0,0.004
HU328995,1,0,0.004
HU12949641,1,0,0.004
HU329013,1,0,0.002
HU11898229,1,0,0.002
HU12305924,1,0,0.002
HU50594160,1,0,0.003
HU65135622,1,0,0.001
HU63331097,1,0,0.001
HU15000052,1,0,0.001
HU494450,1,0,0.004
HU12739882,1,0,0.004
HU63079667,1,0,0.001
HU63747777,1,0,0.001
HU51875693,1,0,0.001
HU62155346,1,0,0.001
HU77925437,1,0,0.001
HU15000142,1,0,0.003
HU15000235,1,0,0.003
HU15000308,1,0,0.003
HU63084520,1,0,0.001
HU308955,2,0,0.006
HU12617407,1,0,0.003
HU64081843,2,0,0.002
HU15000158,1,0,0.001
HU725503,1,0,0.004
HU13760010,1,0,0.004
HU11513654,3,0,0.003
HU60273350,1,0,0.001
HU49413654,1,0,0.001
HU14108390,1,0,0.004
HU14016235,1,0,0.004
HU62148319,1,0,0.001
HU15000413,1,0,0.002
HU300070,1,0,0.004
HU12158485,1,0,0.004
HU20963631,2,0,0.006
HU10904503,1,0,0.003
HU10751343,1,0,0.003
HU10486870,1,0,0.003
HU329750,2,0,0.006
HU10304491,1,0,0.003
HU735584,2,0,0.006
HU12585638,1,0,0.003
HU311443,1,0,0.004
HU11728700,1,0,0.004
HU730105,1,0,0.004
HU10827789,1,0,0.004
HU15000265,1,0,0.001
HU429739,1,0,0.004
HU27697405,1,0,0.004
HU10637784,1,0,0.002
HU308812,1,0,0.004
HU10773381,1,0,0.004
HU12661640,1,0,0.003
HU14515552,1,0,0.004
HU13943741,1,0,0.004
HU308900,1,0,0.004
HU14592245,1,0,0.004
HU320988,2,0,0.004
HU12735345,2,0,0.004
HU12631186,1,0,0.003
HU12883668,1,0,0.003
HU22601142,1,0,0.003
HU22782616,2,0,0.004
HU10647343,1,0,0.002
HU589365,1,0,0.004
HU14206728,1,0,0.004
HU726489,1,0,0.004
HU14005936,1,0,0.004
HU724045,2,0,0.004
HU11563776,2,0,0.004
HU10859843,1,0,0.003
HU726896,1,0,0.004
HU13164184,1,0,0.004
HU728032,1,0,0.004
HU12325537,1,0,0.004
HU329970,1,0,0.004
HU12201521,1,0,0.004
HU19014654,2,0,0.006
HU19931401,1,0,0.003
HU308373,1,0,0.004
HU22102526,1,0,0.004
HU18462391,1,0,0.003
HU15000094,1,0,0.002
HU325851,1,0,0.002
HU21906217,1,0,0.003
