id,Contracts,Bridging Capacity,Influence
HU735605,11,0,0.016
HU13855453,2,0,0.003
HU14863477,1,0,0.007
HU15000375,1,0,0.007
HU11582395,6,0,0.008
HU731784,1,0,0.007
HU15000236,1,0,0.007
HU308449,2,0,0.007
HU15000304,2,0,0.007
HU729325,3,0,0.013
HU23246052,1,0,0.005
HU730578,1,0,0.007
HU10398520,1,0,0.007
HU329750,1,0,0.007
HU10581236,1,0,0.007
HU11906522,4,0,0.015
HU13390961,1,0,0.004
HU725361,1,0,0.007
HU14738124,1,0,0.007
HU323868,3,0,0.013
HU11383079,1,0,0.005
HU734158,1,0,0.007
HU12709885,1,0,0.007
HU10615492,1,0,0.005
HU728571,1,0,0.007
HU15000080,1,0,0.007
HU728340,1,0,0.007
HU13582432,1,0,0.007
HU308801,1,0,0.007
HU11474762,1,0,0.007
HU728504,1,0,0.007
HU47503474,1,0,0.007
HU21599770,1,0,0.005
HU724012,1,0,0.007
HU10683967,1,0,0.007
HU725097,1,0,0.007
HU10679562,1,0,0.007
HU372350,3,0,0.007
HU20325037,3,0,0.007
HU731081,1,0,0.007
HU14254594,1,0,0.007
HU725163,1,0,0.007
HU23008274,1,0,0.007
HU14605749,4,3,0.015
HU10549630,1,0,0.004
HU735584,2,0,0.010
HU22868415,1,0,0.005
HU321226,6,0,0.019
HU12955024,2,0,0.006
HU728328,1,0,0.007
HU10136726,1,0,0.007
HU11202983,1,0,0.007
HU15000354,1,0,0.007
HU728461,1,0,0.007
HU15000396,1,0,0.007
HU728395,1,0,0.007
HU14273498,1,0,0.007
HU12115417,1,0,0.005
HU15000151,2,0,0.008
HU13994888,1,0,0.007
HU11143419,1,0,0.007
HU12147715,2,0,0.008
HU15000189,1,0,0.004
HU10856417,1,0,0.007
HU12882492,1,0,0.007
HU14153503,1,0,0.004
HU731762,1,0,0.007
HU13852773,1,0,0.007
HU21555969,1,0,0.005
HU726906,7,0,0.016
HU13210429,3,0,0.007
HU14028092,1,0,0.004
HU15000290,2,0,0.003
HU733612,1,0,0.007
HU15000277,1,0,0.007
HU726928,1,0,0.007
HU26057820,1,0,0.007
HU15000155,1,0,0.004
HU10008676,3,0,0.013
HU15000076,1,0,0.005
HU730084,1,0,0.007
HU12534261,1,0,0.007
HU727002,1,0,0.007
HU10753390,1,0,0.007
HU727200,1,0,0.007
HU10860056,1,0,0.007
HU730369,1,0,0.007
HU13579069,1,0,0.007
HU720179,1,0,0.007
HU11900870,1,0,0.007
HU345451,1,0,0.007
HU29052484,1,0,0.007
HU15000416,1,0,0.003
HU10938243,1,0,0.004
HU20970383,1,0,0.007
HU23552072,1,0,0.007
HU15000361,1,0,0.004
HU48107325,1,0,0.002
HU20079743,1,0,0.004
HU12740253,2,0,0.005
HU728582,1,0,0.007
HU15000014,1,0,0.007
HU724650,1,0,0.007
HU13633349,1,0,0.007
HU10725591,1,0,0.005
HU727529,1,0,0.007
HU10504770,1,0,0.007
HU22604255,1,0,0.007
HU12157817,1,0,0.007
HU11598228,1,0,0.003
HU329772,1,0,0.007
HU15000011,1,0,0.007
HU14077340,1,0,0.007
HU10674457,1,0,0.007
HU10554885,1,0,0.004
HU733920,1,0,0.007
HU14206728,1,0,0.007
HU23501894,1,0,0.007
HU14287501,1,0,0.007
HU735858,2,0,0.007
HU12257728,2,0,0.007
HU15000296,1,0,0.005
HU23328558,1,0,0.007
HU12263675,1,0,0.007
HU10751257,1,0,0.005
HU360364,1,0,0.007
HU11718873,1,0,0.007
HU736349,1,0,0.007
HU14901090,1,0,0.007
HU22143200,1,0,0.007
HU10773178,1,0,0.007
HU13851325,1,0,0.007
HU12614277,1,0,0.007
HU308472,2,0,0.010
HU10342581,1,0,0.005
HU12208573,1,0,0.005
HU23028966,1,0,0.004
HU734301,1,0,0.007
HU10477803,1,0,0.007
HU734202,6,0,0.016
HU14665664,2,0,0.005
HU10732009,1,0,0.003
HU10336706,1,0,0.003
HU11455796,1,0,0.004
HU13099581,2,0,0.005
HU729798,1,0,0.007
HU12938263,1,0,0.007
HU731092,1,0,0.007
HU10624672,1,0,0.007
HU714031,1,0,0.007
HU12505715,1,0,0.007
