id,Contracts,Bridging Capacity,Influence
CZ00274739,3,0,0.001
CZ25963864,4,0,0.001
CZ49451871,3,0,0.001
CZ49973215,25,0,0.004
CZ00253464,2,0,0.000
CZ00268810,12,0,0.002
CZ42228468,7,0,0.001
CZ25291408,1,0,0.000
CZ00014915,53,0,0.009
CZ00023736,1,0,0.000
CZ46678468,32,0,0.005
CZ00261238,17,0,0.002
CZ25429949,8,0,0.001
CZ61988987,7,0,0.001
CZ15504158,2,0,0.001
CZ00261891,7,0,0.001
CZ25014111,8,0,0.001
CZ00265781,7,0,0.001
CZ61538213,7,0,0.001
CZ00671533,19,0,0.003
CZ00295647,1,0,0.000
CZ10121765,5,0,0.001
CZ68378637,1,0,0.001
CZ60469684,1,0,0.001
CZ00292311,2,0,0.000
CZ25322257,15,0,0.003
CZ00304450,7,0,0.001
CZ28315669,8,0,0.002
CZ70891168,11,0,0.002
CZ25233866,5,0,0.001
CZ00300535,12,0,0.002
CZ47675853,13,0,0.002
CZ00063631,3,0,0.001
CZ48035599,44,0,0.007
CZ00278653,2,0,0.001
CZ25861808,2,0,0.001
CZ00064203,1,0,0.000
CZ00241563,2,0,0.000
CZ00268097,3,0,0.001
CZ15058786,2,0,0.001
CZ00390780,1,0,0.000
CZ00531766,16,0,0.003
CZ48154938,4,0,0.001
CZ25253361,22,0,0.003
CZ65050665,2,0,0.001
CZ14500671,2,0,0.001
CZ14450216,2,0,0.001
CZ47972947,2,0,0.001
CZ00241202,1,0,0.000
CZ18626084,3,0,0.001
CZ46709002,2,0,0.000
CZ48292516,11,0,0.002
CZ75042860,1,0,0.000
CZ64826121,1,0,0.001
CZ15049752,1,0,0.001
CZ46789863,1,0,0.000
CZ44566760,3,0,0.001
CZ46270981,2,0,0.001
CZ25307762,2,0,0.001
CZ00016918,1,0,0.001
CZ61459364,1,0,0.001
CZ00290874,1,0,0.000
CZ46992715,5,0,0.001
CZ00278181,1,0,0.000
CZ28402758,9,0,0.002
CZ70845425,1,0,0.000
CZ63080303,6,0,0.001
CZ42340802,9,0,0.001
CZ00373249,3,0,0.001
CZ25567225,7,0,0.001
CZ00235661,3,0,0.001
CZ25799746,1,0,0.000
CZ48172898,1,0,0.000
CZ26746573,11,0,0.002
CZ62156462,3,0,0.001
CZ00247138,1,0,0.001
CZ26030152,1,0,0.001
CZ72045230,3,0,0.001
CZ25032739,3,0,0.001
CZ70932581,61,0,0.007
CZ26271303,95,0,0.011
CZ00289965,1,0,0.000
CZ26230992,6,0,0.002
CZ62157124,3,0,0.001
CZ00302724,3,0,0.001
CZ75046962,1,0,0.000
CZ25842919,2,0,0.001
CZ44992785,81,0,0.013
CZ70890749,51,0,0.008
