id,Contracts,Bridging Capacity,Influence
HU432744,1,0,0.009
HU13958147,10,0,0.062
HU735627,1,0,0.022
HU10734441,1,0,0.022
HU726906,1,0,0.011
HU10625790,9,0,0.083
HU490353,1,0,0.015
HU10897830,4,0,0.053
HU14168820,1,0,0.022
HU10814505,1,0,0.022
HU14767388,1,0,0.015
HU724737,1,0,0.011
HU12898019,7,0,0.065
HU724782,2,0,0.016
HU12182888,1,0,0.015
HU12928130,4,0,0.053
HU730886,1,0,0.017
HU13945846,2,0,0.032
HU724429,1,0,0.009
HU733557,3,0,0.029
HU730105,1,0,0.011
HU734455,1,0,0.011
HU18665161,1,0,0.022
HU12936773,1,0,0.022
HU308801,1,0,0.017
HU13101424,2,0,0.032
HU10324224,1,0,0.017
HU12519718,1,0,0.022
HU10768033,1,0,0.022
HU752028,1,0,0.015
HU12461062,1,0,0.011
HU308647,1,0,0.011
HU725503,1,0,0.015
HU10901232,1,0,0.015
HU727002,1,0,0.015
HU731597,1,0,0.009
HU13851325,1,0,0.011
HU14077340,1,0,0.011
HU722722,1,0,0.011
HU756817,2,0,0.019
HU329398,2,0,0.019
HU329541,1,0,0.011
HU311399,1,0,0.015
HU728328,1,0,0.017
HU587129,6,0,0.035
