id,Contracts,Bridging Capacity,Influence
HU490650,1,0,0.008
HU11796598,1,0,0.008
HU14605749,3,0,0.016
HU14287501,1,0,0.006
HU10356113,4,0,0.012
HU15000049,3,0,0.009
HU730116,1,0,0.008
HU12965580,1,0,0.008
HU15000010,1,0,0.006
HU19886662,1,0,0.008
HU14559284,1,0,0.008
HU308450,1,0,0.008
HU13596583,1,0,0.008
HU735605,1,0,0.008
HU22165358,1,0,0.008
HU11072315,1,0,0.008
HU14438192,1,0,0.008
HU10941362,6,0,0.019
HU14031362,1,0,0.004
HU731092,1,0,0.008
HU14630198,1,0,0.008
HU735627,4,0,0.012
HU14163650,3,0,0.009
HU21108567,11,0,0.018
HU12013212,5,0,0.008
HU735694,1,0,0.008
HU15000387,1,0,0.008
HU12937554,1,0,0.004
HU305679,3,0,0.008
HU12873528,3,0,0.008
HU10008676,1,0,0.008
HU13682738,1,0,0.008
HU329749,3,0,0.016
HU12739882,1,0,0.006
HU11048572,2,0,0.004
HU10856417,2,0,0.008
HU10728350,5,0,0.016
HU18055342,2,0,0.012
HU13625139,1,0,0.006
HU300146,1,0,0.008
HU15000290,1,0,0.008
HU308791,1,0,0.003
HU11180663,5,0,0.009
HU15000266,1,0,0.004
HU13980335,1,0,0.008
HU15000399,1,0,0.008
HU760346,4,0,0.013
HU22319753,3,0,0.011
HU726995,1,0,0.008
HU22101800,1,0,0.008
HU11871781,1,0,0.006
HU598327,3,0,0.016
HU20306841,1,0,0.006
HU11468729,1,0,0.004
HU300014,3,0,0.016
HU12385184,1,0,0.006
HU329343,1,0,0.008
HU11843827,1,0,0.008
HU443502,5,0,0.008
HU18818352,5,0,0.008
HU355256,6,0,0.008
HU23061477,6,0,0.008
HU14191497,1,0,0.004
HU20970383,1,0,0.008
HU13408381,1,0,0.008
HU308900,1,0,0.008
HU11693062,1,0,0.008
HU311740,1,0,0.008
HU11066901,1,0,0.008
HU728461,1,0,0.008
HU14136041,1,0,0.008
HU734390,1,0,0.008
HU23060689,1,0,0.008
HU10434512,1,0,0.006
HU308746,1,0,0.008
HU13210302,1,0,0.008
HU14542130,1,0,0.008
HU13589594,1,0,0.008
HU14306880,1,0,0.006
HU10901232,1,0,0.008
HU15000036,1,0,0.008
HU22347026,1,0,0.008
HU14197280,1,0,0.008
HU12165814,3,0,0.016
HU11797898,1,0,0.006
HU329804,2,0,0.012
HU12018066,1,0,0.006
HU12620557,1,0,0.004
HU12120497,1,0,0.008
HU10805246,1,0,0.008
HU328104,1,0,0.008
HU10229552,1,0,0.008
HU10905580,1,0,0.006
HU13283896,1,0,0.006
HU329398,1,0,0.008
HU10370672,1,0,0.008
HU725097,1,0,0.008
HU15000152,1,0,0.008
HU18091715,1,0,0.008
HU10260793,1,0,0.008
HU15000147,1,0,0.006
HU18533093,1,0,0.004
HU597045,1,0,0.008
HU22331368,1,0,0.008
HU10813944,1,0,0.005
HU728328,1,0,0.008
HU13900278,1,0,0.008
HU11762597,1,0,0.006
HU656157,1,0,0.008
HU11488710,1,0,0.008
HU15000214,1,0,0.006
HU11687335,1,0,0.006
HU10973581,1,0,0.006
HU11886895,1,0,0.008
HU13405371,1,0,0.008
HU727662,1,0,0.008
HU15000232,1,0,0.008
HU308438,1,0,0.008
HU15000228,1,0,0.008
HU14499647,1,0,0.006
