id,Contracts,Bridging Capacity,Influence
CZ49451871,4,0,0.001
CZ49973215,25,0,0.004
CZ00269719,1,0,0.000
CZ42228468,4,0,0.001
CZ00489174,3,0,0.000
CZ49436589,9,0,0.001
CZ26229269,6,0,0.001
CZ25506820,4,0,0.001
CZ75122979,1,0,0.000
CZ25322257,28,0,0.004
CZ00295671,2,0,0.001
CZ26230992,8,0,0.001
CZ44555601,8,0,0.002
CZ00531766,31,0,0.005
CZ00265781,9,0,0.001
CZ62242105,14,0,0.001
CZ00241687,5,0,0.001
CZ48026921,11,0,0.002
CZ00259586,3,0,0.001
CZ18248675,1,0,0.000
CZ46956484,10,0,0.001
CZ46342796,34,0,0.004
CZ26396645,5,0,0.001
CZ45357269,17,0,0.002
CZ00304450,7,0,0.001
CZ48399477,8,0,0.001
CZ00240117,9,0,0.001
CZ00014915,67,0,0.008
CZ00275051,1,0,0.000
CZ28808495,2,0,0.000
CZ26095165,2,0,0.000
CZ26030152,4,0,0.001
CZ00259349,7,0,0.001
CZ40523284,7,0,0.001
CZ00256986,1,0,0.000
CZ45274924,140,0,0.014
CZ46709002,2,0,0.000
CZ48292516,16,0,0.003
CZ60108118,2,0,0.000
CZ00290785,1,0,0.001
CZ46976469,1,0,0.001
CZ00566756,1,0,0.000
CZ26961474,4,0,0.001
CZ00265942,2,0,0.000
CZ00260231,4,0,0.001
CZ00266299,1,0,0.000
CZ40233308,25,0,0.003
CZ45245819,2,0,0.001
CZ26073005,1,0,0.001
CZ00243132,8,0,0.001
CZ60838744,181,0,0.018
CZ48172898,1,0,0.001
CZ19010591,1,0,0.001
CZ25607618,11,0,0.002
CZ00023337,4,0,0.001
CZ00092584,2,0,0.000
CZ47911182,8,0,0.001
CZ48154938,2,0,0.001
CZ25253361,18,0,0.003
CZ00284459,2,0,0.000
CZ26229455,5,0,0.001
CZ70891168,10,0,0.001
CZ28420403,11,0,0.001
CZ00301311,14,0,0.002
CZ00266027,6,0,0.001
CZ64653137,3,0,0.000
CZ67179843,3,0,0.001
CZ00236021,3,0,0.001
CZ41432037,1,0,0.000
CZ61538213,8,0,0.001
CZ68378271,6,0,0.001
CZ70890749,63,0,0.007
CZ25337220,6,0,0.001
CZ60932171,9,0,0.001
CZ00253669,2,0,0.000
CZ25606468,16,0,0.002
CZ00278653,2,0,0.000
CZ15034682,8,0,0.001
CZ00253979,14,0,0.002
CZ45358800,8,0,0.001
CZ00260771,6,0,0.001
CZ26768607,5,0,0.001
CZ45193771,6,0,0.001
CZ00216275,16,0,0.002
CZ00486361,9,0,0.001
CZ00303836,1,0,0.000
CZ46578463,2,0,0.001
CZ00090450,51,0,0.004
CZ26177005,72,0,0.007
CZ70891095,19,0,0.002
CZ45146802,4,0,0.000
CZ00254843,13,0,0.001
CZ26384795,2,0,0.000
CZ00279633,2,0,0.001
CZ27546756,2,0,0.001
CZ00261238,4,0,0.001
CZ00671533,13,0,0.002
CZ00635162,2,0,0.000
CZ25836129,4,0,0.001
CZ00063517,3,0,0.001
CZ00277037,3,0,0.001
CZ46678468,28,0,0.003
CZ61989100,14,0,0.002
CZ00278343,2,0,0.000
CZ75125285,7,0,0.001
CZ45309612,17,0,0.002
CZ46904662,10,0,0.001
CZ26944022,6,0,0.001
CZ00240931,1,0,0.000
CZ27357694,2,0,0.001
CZ00261912,9,0,0.001
CZ26769611,4,0,0.001
CZ00231126,10,0,0.002
CZ00038113,1,0,0.000
CZ65349423,3,0,0.001
CZ26800527,4,0,0.001
CZ00087751,3,0,0.001
CZ25963864,4,0,0.001
CZ00259438,3,0,0.000
CZ00268810,32,0,0.004
CZ70883521,11,0,0.002
CZ13694341,4,0,0.001
CZ00064581,43,0,0.007
CZ49453190,2,0,0.000
CZ48035599,94,0,0.010
CZ00064173,4,0,0.001
CZ26227525,5,0,0.001
CZ00297437,8,0,0.001
CZ25815288,2,0,0.000
CZ60713470,1,0,0.000
CZ43005560,17,0,0.002
CZ00845451,78,0,0.010
CZ00098892,4,0,0.001
CZ00001279,4,0,0.001
CZ64948251,7,0,0.001
CZ46980059,11,0,0.001
CZ00300080,1,0,0.001
CZ25357522,1,0,0.001
CZ00559644,2,0,0.000
CZ13694758,3,0,0.001
CZ44992785,84,0,0.012
CZ70890021,13,0,0.002
CZ46347526,1,0,0.000
CZ00027383,1,0,0.000
CZ48038792,4,0,0.001
CZ47672234,1,0,0.000
CZ47675853,8,0,0.001
CZ46347542,4,0,0.001
CZ25996061,4,0,0.000
CZ00272591,2,0,0.000
CZ42866294,7,0,0.001
CZ10121765,3,0,0.000
CZ49766929,2,0,0.000
CZ27195147,13,0,0.001
CZ63322731,2,0,0.000
CZ00300535,25,0,0.003
CZ26867664,2,0,0.000
CZ62360213,18,0,0.002
CZ25941127,3,0,0.001
CZ45240744,1,0,0.001
CZ25943367,4,0,0.001
CZ45192464,3,0,0.000
CZ48391204,4,0,0.001
CZ25519760,1,0,0.000
CZ00247618,4,0,0.001
CZ28270495,1,0,0.000
CZ26255618,1,0,0.000
CZ00304271,1,0,0.000
CZ46577238,3,0,0.001
CZ27776506,5,0,0.001
CZ25317628,16,0,0.002
CZ28618891,10,0,0.001
CZ26212005,5,0,0.001
CZ75032333,10,0,0.002
CZ25117947,2,0,0.000
CZ18626084,1,0,0.000
CZ60753013,7,0,0.001
CZ49369229,1,0,0.000
CZ25595946,1,0,0.000
CZ27573524,1,0,0.000
CZ00276944,11,0,0.001
CZ63834197,64,0,0.007
CZ00272680,1,0,0.000
CZ67439918,1,0,0.001
CZ00578894,1,0,0.001
CZ47310979,5,0,0.001
CZ63839407,1,0,0.000
CZ18630197,8,0,0.001
CZ00303461,3,0,0.001
CZ64618951,1,0,0.000
CZ00261891,7,0,0.001
CZ61324817,3,0,0.001
CZ00240079,4,0,0.001
CZ42196868,38,0,0.004
CZ00262978,18,0,0.002
CZ70932581,39,0,0.004
CZ26271303,68,0,0.007
CZ00244694,1,0,0.000
CZ00250996,1,0,0.000
CZ13642464,8,0,0.001
CZ00278360,4,0,0.001
CZ28402758,10,0,0.001
CZ00266230,2,0,0.001
CZ27280012,1,0,0.000
CZ00272710,1,0,0.001
CZ64829944,1,0,0.001
CZ00270211,12,0,0.001
CZ25968807,17,0,0.002
CZ62156489,11,0,0.002
CZ00255645,3,0,0.001
CZ00289965,2,0,0.000
CZ60076658,9,0,0.002
CZ28315669,9,0,0.001
CZ28868781,4,0,0.001
CZ40232981,2,0,0.001
CZ00250627,7,0,0.001
CZ00266094,49,0,0.005
CZ27354601,14,0,0.001
CZ00245267,9,0,0.001
CZ72050501,4,0,0.001
CZ00277177,5,0,0.001
CZ68378297,1,0,0.000
CZ25105825,2,0,0.001
CZ00006572,2,0,0.001
CZ27455777,1,0,0.001
CZ00063941,4,0,0.001
CZ00246875,17,0,0.002
CZ26374919,6,0,0.001
CZ00064459,6,0,0.001
CZ00294136,4,0,0.001
CZ46974687,11,0,0.001
CZ60680377,1,0,0.000
CZ46994955,4,0,0.001
CZ00258415,4,0,0.001
CZ49197339,2,0,0.000
CZ00572756,2,0,0.000
CZ00063410,5,0,0.001
CZ00216305,13,0,0.002
CZ00216208,14,0,0.002
CZ00274046,16,0,0.002
CZ26746573,8,0,0.001
CZ00075370,34,0,0.004
CZ62156462,5,0,0.001
CZ28686454,1,0,0.000
CZ49285289,3,0,0.001
CZ00242381,1,0,0.000
CZ27430774,2,0,0.001
CZ28954874,20,0,0.003
CZ48535834,7,0,0.001
CZ00262854,10,0,0.001
CZ45192286,25,0,0.003
CZ00654451,1,0,0.000
CZ75151537,1,0,0.000
CZ25460625,10,0,0.001
CZ00290629,11,0,0.001
CZ00063584,14,0,0.002
CZ00239453,3,0,0.000
CZ75123924,1,0,0.001
CZ27102246,1,0,0.001
CZ70890650,40,0,0.004
CZ00260444,6,0,0.001
CZ40232191,3,0,0.001
CZ00286010,16,0,0.002
CZ46978194,4,0,0.001
CZ00267449,5,0,0.001
CZ25702556,9,0,0.002
CZ62161172,4,0,0.001
CZ25512285,4,0,0.001
CZ65993390,211,0,0.020
CZ00023299,7,0,0.001
CZ70994234,13,0,0.002
CZ25840819,1,0,0.000
CZ27128164,1,0,0.000
CZ25835661,5,0,0.001
CZ00216224,12,0,0.002
CZ27068641,1,0,0.000
CZ47609109,1,0,0.000
CZ60418885,3,0,0.000
CZ25570722,3,0,0.001
CZ26095203,1,0,0.000
CZ45021309,3,0,0.001
CZ27906329,1,0,0.001
CZ70891508,7,0,0.001
CZ46504788,1,0,0.000
CZ00506729,2,0,0.000
CZ70889546,36,0,0.004
CZ61988987,4,0,0.001
CZ26795311,2,0,0.000
CZ00233129,1,0,0.000
CZ27263827,9,0,0.001
CZ45798851,2,0,0.000
CZ00244732,20,0,0.002
CZ70960399,19,0,0.002
CZ45195706,11,0,0.001
CZ70889953,35,0,0.004
CZ00278181,2,0,0.000
CZ70890005,28,0,0.003
CZ00064441,1,0,0.001
CZ72566205,1,0,0.001
CZ26399113,2,0,0.000
CZ00296643,8,0,0.001
CZ62157124,4,0,0.001
CZ25527380,7,0,0.001
CZ25172328,13,0,0.001
CZ70889988,67,0,0.007
CZ00565679,13,0,0.001
CZ25429949,7,0,0.001
CZ25031716,2,0,0.000
CZ25837982,8,0,0.001
CZ00000582,5,0,0.001
CZ15050050,10,0,0.002
CZ26735865,1,0,0.001
CZ41693752,1,0,0.001
CZ45273910,40,0,0.004
CZ61383082,6,0,0.001
CZ28173279,10,0,0.002
CZ25680081,1,0,0.000
CZ00635901,4,0,0.001
CZ00576832,4,0,0.001
CZ60194120,2,0,0.000
CZ00022179,2,0,0.000
CZ24804053,3,0,0.000
CZ00064491,1,0,0.001
CZ26728435,1,0,0.001
CZ25520059,4,0,0.001
CZ00285455,2,0,0.001
CZ47114444,6,0,0.001
CZ61324230,2,0,0.000
