id,Contracts,Bridging Capacity,Influence
CZ26790777,3,0,0.001
CZ61742830,1,0,0.000
CZ00254878,1,0,0.000
CZ14705877,3,0,0.000
CZ00837237,1,0,0.000
CZ64509745,3,0,0.001
CZ44063032,1,0,0.000
CZ45476691,9,8,0.002
CZ00576948,1,0,0.000
CZ42883539,3,0,0.000
CZ45536040,7,0,0.001
CZ62043935,1,0,0.000
CZ25344447,8,0,0.001
CZ00248380,2,0,0.000
CZ60838531,7,0,0.001
CZ00301370,1,0,0.000
CZ00236667,1,0,0.000
CZ47052121,2,0,0.000
CZ25538543,3,0,0.000
CZ27251918,1,0,0.000
CZ27235211,1,0,0.000
CZ00237418,2,0,0.000
CZ25636332,8,0,0.001
CZ00291676,4,0,0.001
CZ64508510,17,0,0.002
CZ00292877,2,0,0.000
CZ41609620,1,0,0.000
CZ48683396,2,0,0.000
CZ60741881,1,0,0.000
CZ67985530,2,0,0.000
CZ25607537,1,0,0.000
CZ00236021,3,0,0.001
CZ41432037,1,0,0.000
CZ00260967,1,0,0.000
CZ47471174,11,0,0.001
CZ00290807,9,0,0.001
CZ00248789,5,0,0.001
CZ26015889,8,0,0.001
CZ48172898,3,0,0.000
CZ00239607,3,0,0.001
CZ62954181,3,0,0.001
CZ00239453,1,0,0.000
CZ26707152,1,0,0.000
CZ00272680,3,0,0.000
CZ25283383,4,0,0.000
CZ00853879,2,0,0.000
CZ26945509,1,0,0.000
CZ00250023,3,0,0.000
CZ45022313,6,0,0.001
CZ00064432,2,0,0.000
CZ63078848,1,0,0.000
CZ00261939,1,0,0.000
CZ44566565,1,0,0.000
CZ61716464,1,0,0.000
CZ00262307,3,0,0.000
CZ48292516,14,0,0.001
CZ00092096,5,0,0.001
CZ25896873,8,0,0.001
CZ49970020,3,0,0.000
CZ00226319,2,0,0.000
CZ25860852,2,0,0.000
CZ00278653,2,0,0.000
CZ25238892,1,0,0.000
CZ18248675,8,0,0.001
CZ00672033,1,0,0.000
CZ00299570,1,0,0.000
CZ25835289,4,0,0.001
CZ00231266,2,0,0.001
CZ26927357,1,0,0.000
CZ00278955,3,0,0.000
CZ63220369,4,0,0.001
CZ00006921,1,0,0.000
CZ45357269,12,0,0.001
CZ26932211,5,0,0.000
CZ00558010,4,0,0.000
CZ00232947,2,0,0.000
CZ70943842,1,0,0.000
CZ46683046,10,0,0.001
