id,Contracts,Bridging Capacity,Influence
HU18084922,2,0,0.005
HU15000080,2,0,0.005
HU490650,1,0,0.005
HU15000054,1,0,0.005
HU490638,1,0,0.005
HU12008005,1,0,0.005
HU14121559,1,0,0.004
HU14288148,2,0,0.007
HU12147715,1,0,0.003
HU12292750,3,0,0.008
HU775883,1,0,0.005
HU11896193,1,0,0.005
HU329815,12,0,0.022
HU12934245,1,0,0.002
HU724319,1,0,0.005
HU15000405,1,0,0.005
HU762944,1,0,0.005
HU10227787,1,0,0.005
HU346481,1,0,0.005
HU13051587,1,0,0.005
HU583154,1,0,0.005
HU14001688,1,0,0.005
HU308438,1,0,0.005
HU20343033,1,0,0.005
HU764410,1,0,0.005
HU13270980,1,0,0.005
HU13660532,1,0,0.002
HU18592766,1,0,0.005
HU21780927,1,0,0.005
HU722744,1,0,0.005
HU13923729,1,0,0.005
HU300014,4,0,0.009
HU12570737,1,0,0.003
HU14108390,18,0,0.022
HU14016235,5,0,0.006
HU169,5,0,0.006
HU159,2,0,0.003
HU325235,1,0,0.005
HU22722100,1,0,0.005
HU731487,2,0,0.006
HU14438192,2,0,0.006
HU726621,1,0,0.005
HU12577954,1,0,0.005
HU735748,1,0,0.005
HU11838593,1,0,0.005
HU735605,2,0,0.005
HU11383835,2,0,0.005
HU10901816,1,0,0.003
HU730105,1,0,0.005
HU12883668,1,0,0.005
HU10507065,1,0,0.002
HU14486896,1,0,0.002
HU22155531,1,0,0.002
HU329804,3,0,0.009
HU11733948,1,0,0.003
HU24479231,1,0,0.002
HU20933713,4,0,0.009
HU215,2,0,0.004
HU767565,1,0,0.005
HU13881346,1,0,0.005
HU735584,3,0,0.009
HU10324035,1,0,0.003
HU11598022,1,0,0.002
HU542308,2,0,0.005
HU11706690,2,0,0.005
HU311740,1,0,0.005
HU12257003,1,0,0.005
HU10356113,4,0,0.009
HU28340876,1,0,0.003
HU10478701,2,0,0.004
HU13970831,2,0,0.004
HU10644371,2,0,0.006
HU14892222,1,0,0.003
HU192,1,0,0.002
HU15000030,1,0,0.002
HU14503180,1,0,0.003
HU10856417,4,0,0.007
HU10813944,3,0,0.005
HU10317211,1,0,0.002
HU735627,1,0,0.005
HU12937554,1,0,0.005
HU12385184,2,0,0.004
HU15000196,1,0,0.002
HU733656,3,0,0.007
HU22418876,2,0,0.005
HU149,1,0,0.003
HU308373,1,0,0.005
HU11408842,1,0,0.005
HU18175598,1,0,0.003
HU13283896,2,0,0.006
HU11180663,2,0,0.004
HU312770,1,0,0.005
HU14899470,1,0,0.005
HU12154481,1,0,0.005
HU12886513,1,0,0.005
HU10728350,1,0,0.003
HU726731,1,0,0.005
HU14765180,1,0,0.005
HU735869,1,0,0.005
HU12740033,1,0,0.005
HU325752,2,0,0.007
HU21795543,1,0,0.004
HU735694,1,0,0.005
HU10897706,1,0,0.005
HU300146,1,0,0.004
HU10591345,2,0,0.007
HU14883664,1,0,0.003
HU14626126,1,0,0.003
